"gene","chromosome","tss","strand","log2FoldChange","padj","bm3_signal","avg_bg_signal","fold_change","is_higher_than_bg"
"Notch4","chr17",34564268,"+",0.000246386,0.999555847,0,13.8231076405843,0,FALSE
"Pip4k2b","chr11",97744704,"-",-0.000121978,0.999083824,723.577518615723,68.6671317030589,10.5374653152068,TRUE
"Armc6","chr8",70234466,"-",0.000264302,0.998968839,260.088237915039,57.3243962287903,4.53713000093342,TRUE
"Wtip","chr7",34133268,"-",0.000256841,0.998968839,0,21.6396621863047,0,FALSE
"Arl16","chr11",120467607,"-",0.000312883,0.998968839,250.084848022461,118.14958204333,2.11667992131149,TRUE
"Ptpre","chr7",135537481,"+",0.000757596,0.998184218,683.562554321289,46.6212227010727,14.6620469116431,TRUE
"Xpa","chr4",46196311,"-",-0.00161607,0.995897091,70.0236630249023,51.3888326765696,1.3626241223578,TRUE
"Kpna4","chr3",69127113,"-",0.000569285,0.995546837,367.790684112549,54.7972295770645,6.71184815274837,TRUE
"Lurap1l","chr4",80910646,"+",0.002091491,0.994297181,536.847440185547,26.8280425624847,20.0106824392866,TRUE
"Gm13830","chr5",115301120,"+",0.004887844,0.993525114,283.428935852051,105.311571311951,2.69133707076202,TRUE
"Nosip","chr7",45062429,"+",-0.001565613,0.99220196,253.085244781494,91.2018238197962,2.77500201401191,TRUE
"Phf20l1","chr15",66577560,"+",0.001182092,0.992160926,663.558019104004,41.4457927099864,16.010262458899,TRUE
"Prr36","chr8",4217459,"-",0.004584337,0.992160926,888.298784912109,45.0360728069941,19.7241617562657,TRUE
"Dcaf12","chr4",41314889,"-",-0.001609808,0.990691738,786.433538024902,35.4518987805049,22.1831147294532,TRUE
"Rapgef6","chr11",54522847,"+",-0.00164666,0.990480218,0,52.7412214412689,0,FALSE
"Ppp2cb","chr8",33599625,"+",-0.001697718,0.990283159,570.192955932617,15.8247985967,36.0316090248075,TRUE
"Epc1","chr18",6516108,"-",-0.001552513,0.990283159,276.76035369873,91.5689289048513,3.02242646068636,TRUE
"Wdr59","chr8",111522092,"-",-0.002890168,0.989057677,713.572580871582,112.45056611379,6.34565574484979,TRUE
"Tfap4","chr16",4559854,"-",-0.003419369,0.989057677,202.067724487305,32.7629766902924,6.1675630513505,TRUE
"Asb1","chr1",91540544,"+",-0.002981208,0.988857276,606.87123046875,141.647282765706,4.28438314254537,TRUE
"Wdr91","chr6",34910876,"-",-0.00337254,0.986741704,1547.18689263916,58.9616522318522,26.2405620275909,TRUE
"Mkks","chr2",136891389,"-",-0.003222043,0.986080342,3580.53925805664,157.337188863118,22.757107101816,TRUE
"2610020C07Rik","chr16",11203366,"+",0.004822935,0.986080342,23.3412210083008,52.8222659988403,0.44188223596491,FALSE
"Golgb1","chr16",36875140,"+",-0.003248167,0.982377448,180.06084777832,86.9701112016042,2.07037619350542,TRUE
"Rps6kc1","chr1",190911770,"-",-0.00405658,0.982274435,900.30425994873,62.9500038433075,14.3018936454671,TRUE
"Tmem216","chr19",10556238,"-",-0.006677244,0.981739345,423.143822753906,25.4950164108276,16.5971190579112,TRUE
"Amn1","chr6",149188712,"-",-0.004758063,0.981213395,133.378198242187,62.4911511726379,2.13435335626507,TRUE
"Zfp939","chr7",39449518,"+",-0.007501991,0.980961268,583.530555114746,76.5680907885233,7.62106706730384,TRUE
"Ccdc130","chr8",84270380,"-",0.006436782,0.97979001,860.291665344238,50.2661062463125,17.1147464879946,TRUE
"Gm15958","chr18",66291274,"+",-0.012782831,0.979583051,370.791391113281,42.9577413088481,8.63153834014334,TRUE
"Gm48591","chr10",121462694,"-",0.009833715,0.979576312,0,43.9307116171519,0,FALSE
"Map2","chr1",66175273,"+",-0.002470848,0.97954359,944.317935852051,67.5146695601145,13.9868556271499,TRUE
"6030443J06Rik","chr5",22550432,"+",0.008663187,0.978671216,0,41.2528284174601,0,FALSE
"Tatdn2","chr6",113697050,"+",0.004895683,0.977377723,680.229057006836,55.7514841556549,12.2010932499604,TRUE
"Has1","chr17",17855205,"-",0.011570933,0.975424666,0,34.2953950405121,0,FALSE
"Brwd1","chr16",96082526,"-",-0.003687567,0.975178791,522.844094726563,33.355440299352,15.6749270893816,TRUE
"Zfp619","chr7",39517766,"+",0.006461943,0.974575175,993.000701538086,56.0063148606618,17.7301560370214,TRUE
"Gm23444","chr11",83271498,"+",0.018594286,0.973427955,1383.13271936035,64.0429389851888,21.5969588728623,TRUE
"Paox","chr7",140115799,"+",-0.009691779,0.972921445,93.3648840332031,38.4371986532211,2.42902415640477,TRUE
"Aldh16a1","chr7",45154584,"-",-0.009263664,0.97212708,1127.04476556396,67.5419877573649,16.6865797555843,TRUE
"Vcl","chr14",20929398,"+",0.004571068,0.971941903,783.596842956543,160.373552694956,4.88607273324554,TRUE
"Tpst2","chr5",112276691,"+",0.009243632,0.971394854,898.635804077148,142.234364810944,6.31799358243421,TRUE
"Atg12","chr18",46741580,"-",0.005815616,0.971003015,555.187636413574,68.6278273963928,8.08983261566511,TRUE
"Pyurf","chr6",57692078,"-",0.007925733,0.970604743,201.401079345703,62.4799422823588,3.22345175089204,TRUE
