gene,enrichment_score,log2FoldChange,padj,exo_peaks,endo_peaks,num_exo_peaks,num_endo_peaks
Gm17494,2.2964927342078316,0.645121492,0.048775151,chr3:122291946-122292135;chr3:122292393-122292674;chr3:122293848-122294647;chr3:122293848-122294647;chr3:122292817-122293407;chr3:122293660-122294847;chr3:122293660-122294847;chr3:122295422-122295936;chr3:122292954-122293656;chr3:122292954-122293656;chr3:122293933-122295028;chr3:122293933-122295028;chr3:122293933-122295028;chr3:122295618-122295976,chr3:122291734-122291904;chr3:122292586-122293415;chr3:122293740-122294187;chr3:122295415-122295765;chr3:122291903-122292349;chr3:122292583-122293100;chr3:122293911-122294129;chr3:122294982-122295775;chr3:122291721-122292333;chr3:122292663-122292963;chr3:122293871-122294082;chr3:122295088-122295428;chr3:122295651-122295926,14,13
4921511C10Rik,4.7838997216071055,0.627658256,0.047947833,chr3:79212058-79212326;chr3:79212660-79212914,chr3:79211685-79211885,2,1
Pisd-ps2,0.8591256038143738,0.527132145,0.046022974,chr17:3083061-3083464;chr17:3084113-3084494;chr17:3084725-3084984;chr17:3083909-3084495;chr17:3083909-3084495;chr17:3083171-3083445;chr17:3083906-3084455;chr17:3083906-3084455;chr17:3085007-3085349;chr17:3086004-3086209,chr17:3082350-3082503;chr17:3083915-3084512;chr17:3083915-3084512;chr17:3083915-3084512;chr17:3083131-3083443;chr17:3083888-3084886;chr17:3083113-3083458;chr17:3083932-3084530;chr17:3084797-3085008,10,9
Psen2,1.420679576686716,0.642698264,0.045755013,chr1:180263842-180264065;chr1:180261921-180263137;chr1:180264817-180265165,chr1:180262345-180262631;chr1:180264611-180264882;chr1:180265189-180265465;chr1:180260746-180261516;chr1:180263842-180264143,3,5
Gm42852,3.278314133895834,0.692058804,0.045045458,chr6:17747141-17747372;chr6:17749093-17749420;chr6:17748965-17749869;chr6:17748965-17749869;chr6:17748965-17749869;chr6:17750381-17750620;chr6:17746933-17747405;chr6:17749119-17750620,chr6:17748782-17749593;chr6:17749065-17749479;chr6:17749055-17749897,8,3
Dok5,27.439447052537105,0.505904342,0.044508728,chr2:170730789-170731164;chr2:170731116-170732201;chr2:170732960-170733704;chr2:170730623-170731123;chr2:170731438-170731697;chr2:170732485-170732677,chr2:170731903-170732259,6,1
Plin4,0.470955703691877,0.632734798,0.044508728,chr17:56108827-56109320;chr17:56109902-56110082;chr17:56110356-56110811;chr17:56107709-56107906;chr17:56108492-56109118;chr17:56109933-56110175;chr17:56108659-56109106;chr17:56110462-56111114,chr17:56108629-56108939;chr17:56110273-56110862;chr17:56110273-56110862;chr17:56108646-56108934;chr17:56109746-56111151;chr17:56109746-56111151;chr17:56109746-56111151;chr17:56108726-56109050;chr17:56109459-56110160;chr17:56110529-56110762;chr17:56111503-56112528,8,11
Gm37447,4.632828543889181,0.631600389,0.043936773,chr1:87035805-87036451;chr1:87035821-87036305;chr1:87037562-87037874;chr1:87038182-87038680;chr1:87034712-87035173;chr1:87035824-87036026,chr1:87035803-87036067;chr1:87035734-87035969;chr1:87036270-87036472;chr1:87037626-87037872;chr1:87038163-87038415,6,5
Pcdhga11,0.8791263923828483,0.630880399,0.043838101,chr18:37755618-37755967;chr18:37756186-37756388;chr18:37753500-37753750;chr18:37757215-37757407,chr18:37753041-37754236,4,1
Gm38071,1.0925626748459154,0.620817792,0.042821853,chr16:77417850-77418058;chr16:77416517-77416754;chr16:77417406-77417600;chr16:77418423-77418639,chr16:77416511-77416778;chr16:77417589-77417874;chr16:77416523-77416741;chr16:77418072-77418389;chr16:77417857-77418164,4,5
Gm44445,1.5908403086713347,0.760506466,0.042266848,chr6:52561095-52561629;chr6:52560749-52561083,chr6:52558798-52559199;chr6:52562273-52562556;chr6:52558310-52558632,2,3
A930015D03Rik,0.6719999231247664,0.675443171,0.041294979,chr17:35993618-35993796;chr17:35995015-35995406;chr17:35995199-35995401,chr17:35992310-35992487;chr17:35994200-35994548;chr17:35993460-35993875;chr17:35994266-35994561;chr17:35994395-35994826,3,5
Syp,1.5642157796051899,0.57698706,0.0408517,chrX:7638568-7638744;chrX:7638251-7638474;chrX:7638662-7638918;chrX:7638523-7638717,chrX:7640300-7640542;chrX:7638580-7638826;chrX:7640078-7640283,4,3
4921531C22Rik,2.077197417421291,0.551261725,0.040066851,chr2:179977906-179978149;chr2:179973963-179974202;chr2:179975174-179975430;chr2:179975903-179976132;chr2:179976819-179977818;chr2:179976819-179977818,chr2:179974320-179974472;chr2:179976694-179976975;chr2:179973799-179974024;chr2:179974378-179974609;chr2:179973924-179974648;chr2:179977552-179977864,6,6
Gm42531,2.48725664513533,0.609892581,0.039375609,chr5:150563756-150564002;chr5:150561829-150562429;chr5:150563790-150564061,chr5:150561440-150561796;chr5:150563563-150563794;chr5:150563369-150563668,3,3
B230319C09Rik,3.6349945358363365,0.564668328,0.038293984,chr6:83440479-83442002;chr6:83442778-83443318;chr6:83440294-83441358;chr6:83440294-83441358;chr6:83440294-83441358;chr6:83441678-83442564;chr6:83443125-83444108;chr6:83443125-83444108;chr6:83440680-83441030;chr6:83441515-83442045;chr6:83442484-83442733;chr6:83443115-83443534,chr6:83440208-83440683;chr6:83441545-83441798;chr6:83443556-83443711;chr6:83440448-83440788;chr6:83441176-83441749;chr6:83443194-83443790;chr6:83440624-83440877;chr6:83441412-83442154;chr6:83443157-83443849,12,9
Gm10643,1.4877554585611095,0.705930963,0.037920225,chr8:84066377-84066876;chr8:84062893-84063790;chr8:84066344-84066822;chr8:84066226-84066843,chr8:84066385-84066838;chr8:84063030-84063380;chr8:84065061-84065444;chr8:84066377-84066863;chr8:84066324-84066883,4,5
Kcnk1,4.258633422800362,0.553881177,0.037420773,chr8:125993894-125994235;chr8:125996269-125996708;chr8:125994486-125995112;chr8:125995311-125995934;chr8:125996562-125996894;chr8:125994643-125994838;chr8:125995027-125995619,chr8:125993105-125993283;chr8:125994915-125995150;chr8:125994693-125995195;chr8:125995596-125995936;chr8:125995654-125995900,7,5
Gm15481,0.13871387485596737,0.674417755,0.036890831,chr5:122252084-122252297,chr5:122252117-122252270;chr5:122253405-122253560;chr5:122253673-122254108;chr5:122251380-122252405,1,4
A330074H02Rik,0.8254240848709931,0.517700478,0.036826123,chr7:79508393-79509250;chr7:79510545-79510909;chr7:79511161-79511469;chr7:79509113-79509427;chr7:79509851-79510306;chr7:79508124-79508985,chr7:79508305-79508570;chr7:79508796-79509238;chr7:79510790-79510935;chr7:79511226-79511441;chr7:79508039-79508830;chr7:79509117-79509359;chr7:79511256-79511528;chr7:79507326-79509651;chr7:79507326-79509651,6,9
Gm26629,2.3014633992103466,0.6459654,0.036796384,chr19:50676649-50677316;chr19:50678768-50679411;chr19:50676725-50677368;chr19:50678020-50678418;chr19:50678666-50679149;chr19:50676495-50677224;chr19:50678467-50679109;chr19:50678467-50679109,chr19:50676671-50677013;chr19:50678020-50678364;chr19:50678556-50679181;chr19:50678711-50679173;chr19:50678803-50679114,8,5
Slc6a17,2.636931684687906,0.562311489,0.036011727,chr3:107516814-107517188;chr3:107517730-107517926;chr3:107518402-107519129;chr3:107518047-107518411;chr3:107519051-107519421;chr3:107516408-107516591;chr3:107517730-107518051,chr3:107517255-107517531;chr3:107517949-107518220;chr3:107516870-107517421,7,3
Lca5l,2.4924507687818407,0.643384784,0.035377967,chr16:96190665-96191012;chr16:96192017-96192608;chr16:96191558-96192608;chr16:96191558-96192608;chr16:96191558-96192608;chr16:96191873-96192590;chr16:96191873-96192590,chr16:96191858-96192067;chr16:96192211-96192586;chr16:96192985-96193179;chr16:96191938-96192405;chr16:96193001-96193215;chr16:96190047-96190530;chr16:96192217-96193068;chr16:96192217-96193068,7,8
Serpinb6a,0.42089721046420725,0.523966432,0.035068381,chr13:34002158-34002390;chr13:34002067-34002416;chr13:34002073-34002784;chr13:34002073-34002784,chr13:34001464-34002411;chr13:34001464-34002411;chr13:34002775-34003356;chr13:34002036-34002540;chr13:34002928-34003275;chr13:34004086-34004416,4,6
Aass,3.861622105805046,0.570119586,0.035002098,chr6:23131287-23131700;chr6:23132824-23133043;chr6:23133779-23134202;chr6:23132726-23133386;chr6:23133169-23133895,chr6:23134696-23134981;chr6:23132246-23133139,5,2
Ciita,1.1366970467418418,0.583577198,0.034994928,chr16:10487872-10488148;chr16:10488735-10488995;chr16:10488560-10488752,chr16:10488138-10488281;chr16:10487174-10487386,3,2
