gene_name	num_peaks_exo	total_coverage_exo	avg_peak_size_exo	min_distance_to_tss_exo	peaks_exo	cpg_coverage_percent_exo	num_peaks_endo	total_coverage_endo	avg_peak_size_endo	min_distance_to_tss_endo	peaks_endo	cpg_coverage_percent_endo	enrichment_ratio
Chsy3	1	833	833.0	87	chr18:59174897-59175730	44.97840172786177	1	202	202.0	84	chr18:59175383-59175585	7.554225878833208	4.123762376237623
Nkain3	1	923	923.0	658	chr4:20777746-20778669	49.83801295896328	1	260	260.0	582	chr4:20778153-20778413	9.723261032161554	3.55
Kctd1	1	641	641.0	939	chr18:15150186-15150827	34.61123110151188	1	192	192.0	824	chr18:15150525-15150717	7.180254300673148	3.3385416666666665
Zfp354a	1	800	800.0	2	chr11:51058854-51059654	43.196544276457885	1	243	243.0	110	chr11:51059245-51059488	9.087509349289453	3.292181069958848
Prpf31	1	615	615.0	250	chr7:3629427-3630042	33.207343412526996	1	193	193.0	192	chr7:3629696-3629889	7.217651458489155	3.1865284974093266
Tfpt	1	615	615.0	194	chr7:3629427-3630042	33.207343412526996	1	193	193.0	136	chr7:3629696-3629889	7.217651458489155	3.1865284974093266
Ss18	2	745	372.5	271	chr18:14681818-14682182,chr18:14682994-14683375	40.22678185745141	1	235	235.0	837	chr18:14681959-14682194	8.788332086761406	3.1702127659574466
Adgrl3	2	1304	652.0	443	chr5:81019447-81019942,chr5:81021290-81022099	70.41036717062636	1	416	416.0	612	chr5:81020541-81020957	15.557217651458489	3.1346153846153846
Taf1d	1	606	606.0	17	chr9:15305927-15306533	32.721382289416844	1	200	200.0	136	chr9:15305977-15306177	7.479431563201197	3.03
4931406C07Rik	1	606	606.0	217	chr9:15305927-15306533	32.721382289416844	1	200	200.0	370	chr9:15305977-15306177	7.479431563201197	3.03
Bmper	1	856	856.0	186	chr9:23222833-23223689	46.220302375809936	1	283	283.0	423	chr9:23222511-23222794	10.583395661929694	3.0247349823321557
2510009E07Rik	1	752	752.0	241	chr16:21694529-21695281	40.60475161987041	1	255	255.0	599	chr16:21693938-21694193	9.536275243081525	2.9490196078431374
Itpkb	1	791	791.0	1221	chr1:180331310-180332101	42.710583153347734	1	273	273.0	1930	chr1:180332212-180332616	10.209424083769633	2.8974358974358974
Dnah9	2	837	418.5	28	chr11:66168439-66168717,chr11:66167700-66168259	45.19438444924406	1	307	307.0	34	chr11:66168431-66168738	11.480927449513837	2.726384364820847
Iqck	1	466	466.0	175	chr7:118855693-118856159	25.161987041036717	1	174	174.0	70	chr7:118855734-118855908	6.507105459985041	2.67816091954023
Knop1	1	466	466.0	327	chr7:118855693-118856159	25.161987041036717	1	174	174.0	432	chr7:118855734-118855908	6.507105459985041	2.67816091954023
Tbc1d4	1	638	638.0	37	chr14:101608834-101609472	34.44924406047516	1	242	242.0	42	chr14:101609111-101609353	9.050112191473449	2.6363636363636362
Fras1	1	721	721.0	526	chr5:96374120-96374841	38.93088552915766	1	277	277.0	391	chr5:96374207-96374484	10.359012715033659	2.6028880866425994
Amph	1	854	854.0	206	chr13:18948129-18948983	46.11231101511879	1	337	337.0	34	chr13:18948148-18948485	12.602842183994017	2.5341246290801185
Hmg20a	2	775	387.5	439	chr9:56417385-56417682,chr9:56417965-56418443	41.84665226781858	1	306	306.0	1075	chr9:56417415-56417721	11.443530291697831	2.5326797385620914
Peak1	2	775	387.5	138	chr9:56417385-56417682,chr9:56417965-56418443	41.84665226781858	1	306	306.0	498	chr9:56417415-56417721	11.443530291697831	2.5326797385620914
Akr1b3	1	1011	1011.0	211	chr6:34316761-34317772	54.58963282937365	1	402	402.0	75	chr6:34317351-34317753	15.033657442034407	2.514925373134328
Bloc1s5	1	899	899.0	213	chr13:38634446-38635345	48.54211663066955	1	360	360.0	40	chr13:38634888-38635248	13.462976813762154	2.4972222222222222
Sec61g	1	750	750.0	186	chr11:16507922-16508672	40.49676025917927	1	302	302.0	213	chr11:16508119-16508421	11.293941660433807	2.4834437086092715
E130208F15Rik	1	1026	1026.0	354	chr7:30321580-30322606	55.399568034557234	1	414	414.0	662	chr7:30322194-30322608	15.482423335826478	2.4782608695652173
Ell2	1	914	914.0	210	chr13:75706816-75707730	49.35205183585313	1	369	369.0	27	chr13:75707326-75707695	13.799551234106207	2.4769647696476964
Rbm20	1	891	891.0	37	chr19:53676897-53677788	48.11015118790497	1	361	361.0	88	chr19:53677213-53677574	13.500373971578162	2.46814404432133
Kcna2	1	1203	1203.0	1312	chr3:107101856-107103059	64.95680345572354	1	494	494.0	1230	chr3:107102128-107102622	18.474195961106957	2.435222672064777
Rras2	1	1045	1045.0	245	chr7:114117013-114118058	56.425485961123115	1	432	432.0	8	chr7:114117556-114117988	16.155572176514585	2.4189814814814814
Spry1	1	479	479.0	101	chr3:37639606-37640085	25.863930885529157	1	200	200.0	119	chr3:37639965-37640165	7.479431563201197	2.395
Mia	1	28	28.0	2136	chr7:27178857-27179184	1.511879049676026	1	12	12.0	2344	chr7:27178457-27179168	0.44876589379207177	2.3333333333333335
Abtb2	1	967	967.0	45	chr2:103565781-103566748	52.21382289416847	1	419	419.0	28	chr2:103566128-103566547	15.669409124906508	2.307875894988067
Wdr25	1	536	536.0	67	chr12:108893936-108894472	28.94168466522678	1	235	235.0	65	chr12:108894089-108894324	8.788332086761406	2.2808510638297874
Wars	1	536	536.0	31	chr12:108893936-108894472	28.94168466522678	1	235	235.0	33	chr12:108894089-108894324	8.788332086761406	2.2808510638297874
