gene,chr,cpg_start,cpg_end,mecp2_enrichment,exo_signal,endo_signal,binding_type,distance_to_gene,baseMean,log2FoldChange,padj,category
2010300C02Rik,chr1,37719313,37720128,1.780475116923606,124.57523173973097,69.96740957266411,both,43,3098.037795,-0.555371356,3.71952e-09,down-regulated
A830082K12Rik,chr13,78203138,78203691,1.1622302391202746,500.5980090144458,430.72189327423007,both,5121,266.8826735,-0.526898972,0.007432211,down-regulated
Abcc4,chr14,118705781,118706547,1.942646070682316,362.66981876338,186.688570932532,both,328,206.7953907,-0.595742544,0.004477883,down-regulated
Adcy7,chr8,88272328,88272854,1.39760193093387,18.67608300691929,13.36294877214432,both,75,90.94050589,-0.945686745,0.006086936,down-regulated
Adgrl2,chr3,148987630,148990644,2.1654117867575566,3108.6530026423966,1435.5943851664492,both,89,2101.578603,-1.044162284,7.23218e-34,down-regulated
Adrb1,chr19,56721877,56723997,1.1821222521967911,772.0371612481293,653.0941785533754,both,495,279.6189962,-0.604688084,0.003833202,down-regulated
Ak5,chr3,152667613,152668191,1.1752007496031212,112.62855172190338,95.837712629046,both,169,2027.289279,-0.534697662,1.71727e-07,down-regulated
Akap13,chr7,75455504,75456287,0.9918720333219352,1265.4136321782664,1275.7831551517763,both,30,752.4410991,-0.615849262,1.56211e-05,down-regulated
Akap5,chr12,76324705,76325169,1.63840705881614,190.96307033343663,116.55410620082436,both,186,3002.270615,-0.559088644,1.05783e-11,down-regulated
Alcam,chr16,52452264,52453325,1.4379317875783002,4196.994114421178,2918.771356664676,both,749,2978.82234,-0.688079508,5.2385e-10,down-regulated
Alk,chr17,72603440,72603654,0.9426694644778906,156.32933276814254,165.83684807773795,both,55,225.9880786,-0.658133058,0.002249405,down-regulated
Ankrd33b,chr15,31367028,31368006,1.148408033016767,46.75842706863481,40.71586554981206,both,247,664.7449975,-0.737517827,1.49944e-08,down-regulated
Ankrd63,chr2,118702419,118704307,1.7685143649030914,63.82798733071056,36.09130273262333,both,344,202.4696893,-0.536667608,0.049093346,down-regulated
Apbb2,chr5,66617847,66618746,0.9514017214988616,783.5220950236181,823.5449624678399,both,38,806.9489743,-0.518022906,9.16373e-05,down-regulated
Arhgap29,chr3,121953293,121953816,2.326451613521327,27.54743688915408,11.84096704571395,both,752,118.4108741,-1.003244615,0.000900064,down-regulated
Arhgap31,chr16,38712700,38713353,0.8559975380125551,458.0561355130391,535.1138469119297,both,79,357.4087006,-0.690232316,6.54288e-05,down-regulated
Arhgef28,chr13,98205787,98206478,0.8294436567277709,67.06796878792211,80.8589808890832,both,313,635.0107556,-0.770076024,1.73933e-06,down-regulated
Asap2,chr12,21111482,21112601,0.494701975721402,381.5937852366752,771.3609485391964,both,266,810.2850548,-0.501042028,3.99001e-05,down-regulated
B3galt1,chr2,67565649,67566279,1.4726751523181034,1391.4934162900695,944.874648084985,both,222,881.0548942,-0.636686143,1.35323e-08,down-regulated
B3galt5,chr16,96280784,96281114,2.318028114918046,190.3966964161456,82.13735424122629,both,38745,292.8535816,-0.52199731,0.00750511,down-regulated
Bcl2,chr1,106713656,106714232,1.6866908207227318,470.4815613018412,278.93764258481235,both,42,456.7206858,-0.819809864,8.19214e-09,down-regulated
Bcl2l11,chr2,128125625,128128313,0.9252012303764308,1562.3786929855416,1688.69067797269,both,413,184.3730428,-0.643241711,0.012645671,down-regulated
Bcl6,chr16,23988656,23988951,0.7200110124246325,243.1353908742909,337.68287800978777,both,99,283.7885729,-0.610528095,0.002034869,down-regulated
Bmp3,chr5,98854747,98855419,2.3080692630523325,92.85364049206412,40.2300060827762,both,332,196.2367049,-1.263898157,6.5077e-09,down-regulated
Bsn,chr9,108190030,108190582,0.7682881208216403,87.35486201298158,113.70065428001222,both,198,5834.54647,-0.577973917,2.7569e-10,down-regulated
Btbd3,chr2,138256536,138257223,1.0880553140703353,701.1329644797241,644.3909196645868,both,29,2769.597864,-0.637075672,1.43566e-06,down-regulated
Cadm2,chr16,67620133,67620701,1.8482043607848408,4184.019236475514,2263.8293282128,both,207,3087.768276,-0.666861173,5.297e-10,down-regulated
