chr,start,end,exo_signal,endo_signal,enrichment,pvalue,binding_type,binding_type_by_peaks,significant,cpg_score,cpg_name,cpg_length,region_start,region_end,region_length,distanceToTSS,tss_position,strand,geneId,SYMBOL
chr1,37875331,37875824,0.0100502053352251,12.6637006129168,0.0007936230997891,0.666666666666667,endo_only,endo_only,False,CpG:,873,493,37875446,37876614,1168,2769,37878593,*,623661,Lipt1
chr11,97500137,97500979,0.075659941460379,10.8384297000159,0.0069807106337801,0.5,endo_only,endo_only,False,CpG:,1328,842,97499002,97501182,2180,0,97500979,*,100141474,4933428G20Rik
chr13,94876988,94877530,5.33171152199682,12.2667207772897,0.434648478497026,1,endo_only,endo_only,False,CpG:,1308,542,94876449,94878443,1994,1386,94878916,*,18420,Otp
chr13,104863566,104863806,15.7418893219779,8.05401147067562,1.95454021630011,0.5,endo_only,endo_only,False,CpG:,1385,240,104863330,104864633,1303,87,104863893,*,77803,Shisal2b
chr14,70659207,70659420,3.75062362840623,12.5367755444194,0.299169719926569,1,endo_only,endo_only,False,CpG:,1124,213,70658621,70660479,1858,0,70659420,*,328440,Npm2
chr16,97763144,97763933,9.27127502325809,14.1377337662379,0.655782261609614,0.5,endo_only,endo_only,False,CpG:,1330,789,97762019,97764219,2200,0,97763933,*,72388,Ripk4
chr17,6601615,6601899,0.207989160252533,7.63193593774149,0.0272524772153791,0.5,endo_only,endo_only,False,CpG:,635,284,6601487,6602216,729,0,6601899,*,100040531,Dynlt1f
chr17,25133340,25133660,21.653399820681,52.2579767868002,0.414355877362447,1,endo_only,endo_only,False,CpG:,776,320,25133320,25133824,504,0,25133660,*,26373,Clcn7
chr17,26841124,26841502,0.227234058055399,11.2364287775904,0.0202229785417753,1,endo_only,endo_only,False,CpG:,789,378,26840956,26841700,744,63,26841565,*,18091,Nkx2-5
chr2,28911306,28911551,3.77067117588494,21.941699801288,0.171849547210722,1,endo_only,endo_only,False,CpG:,805,245,28909992,28912007,2015,944,28912495,*,54422,Barhl1
chr2,158695912,158696204,0.74892021404959,4.58997120884409,0.163164468789379,0.666666666666667,endo_only,endo_only,False,CpG:,1795,292,158695375,158696662,1287,0,158696204,*,228852,Ppp1r16b
chr2,178119043,178119439,22.9320792458274,8.78293515768918,2.61098127608868,0.666666666666667,endo_only,exo_only,False,CpG:,1943,396,178118795,178119345,550,0,178119439,*,74189,Phactr3
chr4,11385344,11385695,2.19108313966155,18.1714592840179,0.120578270870554,0.5,endo_only,endo_only,False,CpG:,671,351,11385144,11387766,2622,699,11386394,*,207920,Esrp1
chr4,11387026,11388595,2.17944612753892,18.229043971847,0.119558992282034,0.5,endo_only,endo_only,False,CpG:,671,1569,11385144,11387780,2636,-243,11388352,*,207920,Esrp1
chr4,138913422,138914024,1.77990826731694,26.6492308908711,0.0667902302548874,0.5,endo_only,endo_only,False,CpG:,1644,602,138913039,138914418,1379,0,138914024,*,73162,Otud3
chr6,90325047,90325311,0.0473877904213919,9.6295649656874,0.0049210728200335,0.5,endo_only,endo_only,False,CpG:,1274,264,90325107,90326521,1414,0,90325311,*,71797,Chst13
chr7,12803403,12803766,0.134193061985185,9.98139686261561,0.0134443168458507,1,endo_only,endo_only,False,CpG:,682,363,12802224,12804567,2343,0,12803766,*,232875,Zscan18
chr7,14622325,14623100,1.14076366185258,5.54679849013869,0.205661637768286,0.666666666666667,endo_only,endo_only,False,CpG:,696,775,14622193,14623362,1169,0,14623100,*,100417675,Nlrp5-ps
chr7,101296765,101296967,0.799810356706723,17.6261463905203,0.0453763595845815,0.666666666666667,endo_only,endo_only,False,CpG:,1357,202,101296147,101297075,928,0,101296967,*,73683,Atg16l2
chr9,21184003,21184452,0.821528947057803,17.0462126395028,0.0481942214632473,0.5,endo_only,endo_only,False,CpG:,746,449,21184126,21185820,1694,0,21184452,*,18577,Pde4a
