chr,start,end,exo_signal,endo_signal,enrichment,pvalue,binding_type,binding_type_by_peaks,significant,cpg_score,cpg_name,region_length,distanceToTSS,geneId,SYMBOL
chr1,3671654,3672156,15.3311817720532,5.96500325061026,2.57018833484873,0.1,both,exo_only,False,CpG:,613,1792,-156,497097,Xkr4
chr1,4491701,4493673,8.71631502637676,10.776052608677,0.808859732121046,1,both,exo_only,False,CpG:,619,1360,62,20671,Sox17
chr1,4785376,4785814,25.4447727068937,24.5237922277383,1.03755457029658,1,both,both,False,CpG:,621,2211,0,27395,Mrpl15
chr1,4807559,4808103,18.2535219256784,5.43693691735564,3.35731721797435,0.1,both,exo_only,False,CpG:,621,3264,0,18777,Lypla1
chr1,4857465,4858372,69.4033749195319,54.7071100400481,1.26863537241732,0.4,both,both,False,CpG:,622,2087,0,21399,Tcea1
chr1,5018557,5019711,50.6988395900459,28.6351188675072,1.77051262907712,0.1,both,both,False,CpG:,623,8482,0,58175,Rgs20
chr1,5083039,5083536,25.8404667699902,25.3026856644249,1.02125391401915,0.7,both,both,False,CpG:,623,1681,0,108664,Atp6v1h
chr1,5916428,5917474,22.6738491753294,11.4823242087817,1.97467418294881,0.1,both,both,False,CpG:,630,3138,0,226304,Npbwr1
chr1,6214430,6215332,38.431894998598,17.479419551222,2.19869400616974,0.4,both,both,False,CpG:,632,2406,0,12421,Rb1cc1
chr1,6359082,6359442,39.5276558069679,0,Inf,1,exo_only,exo_only,False,CpG:,633,328,0,620393,Alkal1
chr1,7088491,7089271,45.3905879948399,35.5477891089506,1.27688919993652,0.1,both,both,False,CpG:,639,7168,0,319263,Pcmtd1
chr1,9299215,9300020,27.9299063235448,6.06478263597952,4.60526089720838,0.8,both,both,False,CpG:,655,1358,0,71096,Sntg1
chr1,9545269,9546268,47.7219193993193,38.2527937900113,1.24754075901721,0.7,both,both,False,CpG:,657,1804,0,59014,Rrs1
chr1,9699785,9700881,19.139674631941,17.2227210680102,1.1113037571915,1,both,both,False,CpG:,659,2643,0,17864,Mybl1
chr1,9747560,9748645,51.4806573587509,47.6982082708303,1.07929960526911,1,both,both,False,CpG:,659,2980,0,70675,Vcpip1
chr1,9797821,9798652,26.7261029389855,7.88976203265639,3.38744094287812,0.1,both,exo_only,False,CpG:,659,2202,0,170755,Sgk3
chr1,9848165,9848530,13.1519577657755,4.64277266456235,2.83278090830564,0.666666666666667,both,exo_only,False,CpG:,660,2170,0,170755,Sgk3
chr1,9943785,9944196,10.9019205378533,12.5265759564824,0.870303311593435,1,both,both,False,CpG:,660,3437,0,73824,Snhg6
chr1,9967118,9968330,10.3906162333669,9.79520730507274,1.06078574038814,0.4,both,both,False,CpG:,661,1627,0,100039596,Tcf24
chr1,10037950,10038215,31.4332661472143,17.8760761059902,1.75839854120342,0.1,both,both,False,CpG:,661,5375,0,211660,Cspp1
chr1,10039745,10040279,48.1517181902351,27.6268505618965,1.74293186559046,0.1,both,both,False,CpG:,661,3329,0,211660,Cspp1
chr1,10232143,10233428,11.5661026165078,9.11161672223236,1.26937984433504,0.7,both,both,False,CpG:,663,3021,0,211673,Arfgef1
chr1,10993486,10994005,19.562027910505,14.3649996350399,1.36178408684315,0.7,both,exo_only,False,CpG:,668,4233,21,109294,Prex2
chr1,11414060,11414465,37.0951865461682,11.3795090787622,3.25982309864313,0.1,both,both,False,CpG:,672,1849,0,320492,A830018L16Rik
chr1,12990718,12991200,18.890119290575,11.8003624869931,1.60080839138599,0.1,both,both,False,CpG:,684,6696,0,240726,Slco5a1
