chr,start,end,exo_signal,endo_signal,enrichment,pvalue,binding_type,binding_type_by_peaks,significant,cpg_score,cpg_name,cpg_length,region_start,region_end,region_length,distanceToTSS,tss_position,strand,geneId,SYMBOL
chr1,3671654,3672156,15.3311817720532,5.96500325061026,2.57018833484873,0.1,both,exo_only,False,CpG:,613,502,3670396,3672188,1792,-156,3672000,*,497097,Xkr4
chr1,4491701,4493673,8.71631502637676,10.776052608677,0.808859732121046,1,both,exo_only,False,CpG:,619,1972,4492093,4493453,1360,62,4493735,*,20671,Sox17
chr1,4785376,4785814,25.4447727068937,24.5237922277383,1.03755457029658,1,both,both,False,CpG:,621,438,4784061,4786272,2211,0,4785814,*,27395,Mrpl15
chr1,4807559,4808103,18.2535219256784,5.43693691735564,3.35731721797435,0.1,both,exo_only,False,CpG:,621,544,4806809,4810073,3264,0,4808103,*,18777,Lypla1
chr1,4857465,4858372,69.4033749195319,54.7071100400481,1.26863537241732,0.4,both,both,False,CpG:,622,907,4856462,4858549,2087,0,4858372,*,21399,Tcea1
chr1,5018557,5019711,50.6988395900459,28.6351188675072,1.77051262907712,0.1,both,both,False,CpG:,623,1154,5016896,5025378,8482,0,5019711,*,58175,Rgs20
chr1,5083039,5083536,25.8404667699902,25.3026856644249,1.02125391401915,0.7,both,both,False,CpG:,623,497,5082687,5084368,1681,0,5083536,*,108664,Atp6v1h
chr1,5916428,5917474,22.6738491753294,11.4823242087817,1.97467418294881,0.1,both,both,False,CpG:,630,1046,5914531,5917669,3138,0,5917474,*,226304,Npbwr1
chr1,6214430,6215332,38.431894998598,17.479419551222,2.19869400616974,0.4,both,both,False,CpG:,632,902,6213301,6215707,2406,0,6215332,*,12421,Rb1cc1
chr1,7088491,7089271,45.3905879948399,35.5477891089506,1.27688919993652,0.1,both,both,False,CpG:,639,780,7086674,7093842,7168,0,7089271,*,319263,Pcmtd1
chr1,9299215,9300020,27.9299063235448,6.06478263597952,4.60526089720838,0.8,both,both,False,CpG:,655,805,9298334,9299692,1358,0,9300020,*,71096,Sntg1
chr1,9545269,9546268,47.7219193993193,38.2527937900113,1.24754075901721,0.7,both,both,False,CpG:,657,999,9544854,9546658,1804,0,9546268,*,59014,Rrs1
chr1,9699785,9700881,19.139674631941,17.2227210680102,1.1113037571915,1,both,both,False,CpG:,659,1096,9698649,9701292,2643,0,9700881,*,17864,Mybl1
chr1,9747560,9748645,51.4806573587509,47.6982082708303,1.07929960526911,1,both,both,False,CpG:,659,1085,9746409,9749389,2980,0,9748645,*,70675,Vcpip1
chr1,9797821,9798652,26.7261029389855,7.88976203265639,3.38744094287812,0.1,both,exo_only,False,CpG:,659,831,9796998,9799200,2202,0,9798652,*,170755,Sgk3
chr1,9848165,9848530,13.1519577657755,4.64277266456235,2.83278090830564,0.666666666666667,both,exo_only,False,CpG:,660,365,9846776,9848946,2170,0,9848530,*,170755,Sgk3
chr1,9943785,9944196,10.9019205378533,12.5265759564824,0.870303311593435,1,both,both,False,CpG:,660,411,9941156,9944593,3437,0,9944196,*,73824,Snhg6
chr1,9967118,9968330,10.3906162333669,9.79520730507274,1.06078574038814,0.4,both,both,False,CpG:,661,1212,9967079,9968706,1627,0,9968330,*,100039596,Tcf24
chr1,10037950,10038215,31.4332661472143,17.8760761059902,1.75839854120342,0.1,both,both,False,CpG:,661,265,10035146,10040521,5375,0,10038215,*,211660,Cspp1
chr1,10039745,10040279,48.1517181902351,27.6268505618965,1.74293186559046,0.1,both,both,False,CpG:,661,534,10037192,10040521,3329,0,10040279,*,211660,Cspp1
chr1,10232143,10233428,11.5661026165078,9.11161672223236,1.26937984433504,0.7,both,both,False,CpG:,663,1285,10231604,10234625,3021,0,10233428,*,211673,Arfgef1
chr1,10993486,10994005,19.562027910505,14.3649996350399,1.36178408684315,0.7,both,exo_only,False,CpG:,668,519,10990495,10994728,4233,21,10994026,*,109294,Prex2
chr1,11414060,11414465,37.0951865461682,11.3795090787622,3.25982309864313,0.1,both,both,False,CpG:,672,405,11413535,11415384,1849,0,11414465,*,320492,A830018L16Rik
chr1,12990718,12991200,18.890119290575,11.8003624869931,1.60080839138599,0.1,both,both,False,CpG:,684,482,12988795,12995491,6696,0,12991200,*,240726,Slco5a1
chr1,12991485,12992784,18.890119290575,11.8003624869931,1.60080839138599,0.1,both,both,False,CpG:,684,1299,12988795,12995491,6696,0,12992784,*,240726,Slco5a1
chr1,13372746,13374794,52.693073728739,29.7654268921097,1.77027777628504,0.2,both,both,False,CpG:,687,2048,13370800,13375241,4441,0,13374794,*,17978,Ncoa2
chr1,13589162,13590177,20.8137525727139,15.2107180022804,1.36836095242798,0.4,both,both,False,CpG:,688,1015,13587855,13591125,3270,0,13590177,*,72265,Tram1
chr1,13660231,13660732,52.1094114072761,30.317879881707,1.7187683179231,0.4,both,both,False,CpG:,689,501,13658629,13660838,2209,0,13660732,*,212442,Lactb2
chr1,14309747,14310036,29.0323001294536,12.8229496137017,2.2640890749841,0.2,both,both,False,CpG:,694,289,14308466,14310785,2319,0,14310036,*,14048,Eya1
chr1,15805591,15806108,41.8513425344039,19.9639618218257,2.09634454863812,0.1,both,both,False,CpG:,705,517,15803978,15807286,3308,0,15806108,*,21749,Terf1
chr1,16092956,16093371,20.4223637648563,9.27783357228147,2.201199623355,0.2,both,exo_only,False,CpG:,707,415,16091835,16094277,2442,0,16093371,*,75799,4930444P10Rik
chr1,16104765,16106291,30.8313325395924,21.9379731431838,1.40538655683294,0.2,both,both,False,CpG:,707,1526,16102343,16108539,6196,0,16106291,*,98711,Rdh10
