chr,start,end,exo_signal,endo_signal,enrichment,pvalue,binding_type,peak_width_exo,peak_width_endo,significant,cpg_start,cpg_end,cpg_number
chr1,3670619,3671074,19.52527022790888,0.0,inf,1.0,exo_only,331.75,0.0,False,3670619,3671074,34
chr1,4491701,4493673,19.215953956492484,0.0,inf,1.0,exo_only,236.5,0.0,False,4491701,4493673,165
chr1,4571641,4572075,29.90063758691693,0.0,inf,1.0,exo_only,371.0,0.0,False,4571641,4572075,44
chr1,6359082,6359442,16.84304945225683,0.0,inf,1.0,exo_only,251.0,0.0,False,6359082,6359442,29
chr1,9848165,9848530,9.614194367898396,0.0,inf,1.0,exo_only,351.0,0.0,False,9848165,9848530,40
chr1,14755151,14755803,23.903385671000454,0.0,inf,1.0,exo_only,329.0,0.0,False,14755151,14755803,68
chr1,15286418,15287178,9.503502795628409,0.0,inf,1.0,exo_only,392.0,0.0,False,15286418,15287178,87
chr1,17091517,17091971,19.969962196008712,0.0,inf,1.0,exo_only,319.0,0.0,False,17091517,17091971,35
chr1,17145467,17145795,15.218616300173665,0.0,inf,1.0,exo_only,352.5,0.0,False,17145467,17145795,23
chr1,33908265,33908468,69.7943790079929,0.0,inf,1.0,exo_only,938.0,0.0,False,33908265,33908468,16
chr1,34472754,34472966,19.920267487745264,0.0,inf,1.0,exo_only,391.6666666666667,0.0,False,34472754,34472966,19
chr1,36103537,36104186,20.43030866294685,0.0,inf,1.0,exo_only,337.5,0.0,False,36103537,36104186,46
chr1,36779084,36779320,53.59896032562423,0.0,inf,1.0,exo_only,1129.0,0.0,False,36779084,36779320,18
chr1,37540315,37540920,133.84075381373563,0.0,inf,1.0,exo_only,880.0,0.0,False,37540315,37540920,56
chr1,38626793,38628084,4.421697641604951,0.0,inf,1.0,exo_only,188.0,0.0,False,38626793,38628084,94
chr1,52500031,52500252,28.487266290994526,0.0,inf,1.0,exo_only,298.5,0.0,False,52500031,52500252,25
chr1,54957230,54957497,3.407572069308342,0.0,inf,1.0,exo_only,230.0,0.0,False,54957230,54957497,17
chr1,55362481,55363657,24.45918214531952,0.0,inf,1.0,exo_only,454.0,0.0,False,55362481,55363657,115
chr1,63273063,63273913,1.7173103127083946,0.0,inf,1.0,exo_only,198.0,0.0,False,63273063,63273913,90
chr1,66677401,66677639,6.040699275783574,0.0,inf,1.0,exo_only,345.0,0.0,False,66677401,66677639,17
chr1,69376995,69377218,9.065153714440484,0.0,inf,1.0,exo_only,497.0,0.0,False,69376995,69377218,16
chr1,69377803,69378045,5.560033045367033,0.0,inf,1.0,exo_only,203.0,0.0,False,69377803,69378045,20
chr1,72825362,72825653,31.3380693781156,0.0,inf,1.0,exo_only,376.5,0.0,False,72825362,72825653,20
chr1,74036952,74037248,10.521731516644028,0.0,inf,1.0,exo_only,252.0,0.0,False,74036952,74037248,29
chr1,74791733,74792242,4.498493886591334,0.0,inf,1.0,exo_only,426.0,0.0,False,74791733,74792242,44
chr1,74950631,74952093,17.13204271127276,0.0,inf,1.0,exo_only,290.5,0.0,False,74950631,74952093,126
chr1,75475918,75476150,7.358581798469221,0.0,inf,1.0,exo_only,248.0,0.0,False,75475918,75476150,20
chr1,75482645,75483019,2.760442405969517,0.0,inf,1.0,exo_only,213.0,0.0,False,75482645,75483019,27
chr1,78215957,78216242,39.35618182628307,0.0,inf,1.0,exo_only,320.75,0.0,False,78215957,78216242,23
chr1,78511827,78512070,9.611249625935546,0.0,inf,1.0,exo_only,223.0,0.0,False,78511827,78512070,20
chr1,79671574,79671937,5.681091187410956,0.0,inf,1.0,exo_only,222.0,0.0,False,79671574,79671937,33
chr1,86018289,86018836,45.61363250452032,0.0,inf,1.0,exo_only,980.0,0.0,False,86018289,86018836,53
chr1,87153912,87155085,17.37937863494351,0.0,inf,1.0,exo_only,256.75,0.0,False,87153912,87155085,126
chr1,89922851,89923131,28.631505200491915,0.0,inf,1.0,exo_only,621.0,0.0,False,89922851,89923131,22
chr1,89968235,89968791,4.370883574934125,0.0,inf,1.0,exo_only,383.0,0.0,False,89968235,89968791,92
chr1,89992933,89993202,68.08019025408082,0.0,inf,1.0,exo_only,624.0,0.0,False,89992933,89993202,24
chr1,91800886,91802681,5.015929785615917,0.0,inf,1.0,exo_only,209.0,0.0,False,91800886,91802681,135
