gene,chr,tss,strand,promoter_start,promoter_end,cpg_start,cpg_end,cpg_id,cpg_count,exo_peak_count,exo_mean_signal,exo_min_qvalue,endo_peak_count,endo_mean_signal,endo_min_qvalue,category
Tcea1,chr1,4857814,+,4855314,4858314,4857465,4858372,622,83,0,0.0,1.0,1,11.481566666666666,48.220466666666674,endo_only
Tcea1,chr1,4858038,+,4855538,4858538,4857465,4858372,622,83,0,0.0,1.0,1,11.481566666666666,48.220466666666674,endo_only
Rrs1,chr1,9545408,+,9542908,9545908,9545269,9546268,657,97,0,0.0,1.0,1,9.28427,33.58976666666667,endo_only
A830018L16Rik,chr1,11414105,+,11411605,11414605,11414060,11414465,672,44,0,0.0,1.0,1,6.232515,16.24035,endo_only
A830018L16Rik,chr1,11414105,+,11411605,11414605,11414060,11414465,672,44,0,0.0,1.0,1,6.232515,16.24035,endo_only
A830018L16Rik,chr1,11414112,+,11411612,11414612,11414060,11414465,672,44,0,0.0,1.0,1,6.232515,16.24035,endo_only
A830018L16Rik,chr1,11414112,+,11411612,11414612,11414060,11414465,672,44,0,0.0,1.0,1,6.232515,16.24035,endo_only
A830018L16Rik,chr1,11414112,+,11411612,11414612,11414060,11414465,672,44,0,0.0,1.0,1,6.232515,16.24035,endo_only
A830018L16Rik,chr1,11414269,+,11411769,11414769,11414060,11414465,672,44,0,0.0,1.0,1,6.232515,16.24035,endo_only
A830018L16Rik,chr1,11414509,+,11412009,11415009,11414060,11414465,672,44,0,0.0,1.0,1,6.232515,16.24035,endo_only
A830018L16Rik,chr1,11414509,+,11412009,11415009,11414060,11414465,672,44,0,0.0,1.0,1,6.232515,16.24035,endo_only
Gm38178,chr1,11416918,+,11414418,11417418,11414060,11414465,672,44,0,0.0,1.0,1,6.232515,16.24035,endo_only
Slco5a1,chr1,12992650,-,12992150,12995150,12991485,12992784,684,98,0,0.0,1.0,1,5.84542,16.5795,endo_only
Slco5a1,chr1,12991135,-,12990635,12993635,12991485,12992784,684,98,0,0.0,1.0,1,5.84542,16.5795,endo_only
Slco5a1,chr1,12991177,-,12990677,12993677,12991485,12992784,684,98,0,0.0,1.0,1,5.84542,16.5795,endo_only
Slco5a1,chr1,12991135,-,12990635,12993635,12991485,12992784,684,98,0,0.0,1.0,1,5.84542,16.5795,endo_only
Slco5a1,chr1,12990914,-,12990414,12993414,12991485,12992784,684,98,0,0.0,1.0,1,5.84542,16.5795,endo_only
Slco5a1,chr1,12990914,-,12990414,12993414,12991485,12992784,684,98,0,0.0,1.0,1,5.84542,16.5795,endo_only
Slco5a1,chr1,12991177,-,12990677,12993677,12991485,12992784,684,98,0,0.0,1.0,1,5.84542,16.5795,endo_only
Ube2w,chr1,16619312,-,16618812,16621812,16618558,16619401,711,107,0,0.0,1.0,1,7.42686,21.6938,endo_only
Ube2w,chr1,16619489,-,16618989,16621989,16618558,16619401,711,107,0,0.0,1.0,1,7.42686,21.6938,endo_only
Ube2w,chr1,16619259,-,16618759,16621759,16618558,16619401,711,107,0,0.0,1.0,1,7.42686,21.6938,endo_only
Ube2w,chr1,16619284,-,16618784,16621784,16618558,16619401,711,107,0,0.0,1.0,1,7.42686,21.6938,endo_only
Ube2w,chr1,16619284,-,16618784,16621784,16618558,16619401,711,107,0,0.0,1.0,1,7.42686,21.6938,endo_only
Gm38342,chr1,16618560,+,16616060,16619060,16618558,16619401,711,107,0,0.0,1.0,1,7.42686,21.6938,endo_only
Tceb1,chr1,16656884,-,16656384,16659384,16656764,16657043,712,25,0,0.0,1.0,1,12.7115,62.38725,endo_only
Tceb1,chr1,16657042,-,16656542,16659542,16656764,16657043,712,25,0,0.0,1.0,1,12.7115,62.38725,endo_only
Tceb1,chr1,16657018,-,16656518,16659518,16656764,16657043,712,25,0,0.0,1.0,1,12.7115,62.38725,endo_only
Tceb1,chr1,16657038,-,16656538,16659538,16656764,16657043,712,25,0,0.0,1.0,1,12.7115,62.38725,endo_only
Tceb1,chr1,16656914,-,16656414,16659414,16656764,16657043,712,25,0,0.0,1.0,1,12.7115,62.38725,endo_only
Tceb1,chr1,16656625,-,16656125,16659125,16656764,16657043,712,25,0,0.0,1.0,1,12.7115,62.38725,endo_only
Tceb1,chr1,16656900,-,16656400,16659400,16656764,16657043,712,25,0,0.0,1.0,1,12.7115,62.38725,endo_only
Tceb1,chr1,16656915,-,16656415,16659415,16656764,16657043,712,25,0,0.0,1.0,1,12.7115,62.38725,endo_only
Tceb1,chr1,16656878,-,16656378,16659378,16656764,16657043,712,25,0,0.0,1.0,1,12.7115,62.38725,endo_only
Tceb1,chr1,16657042,-,16656542,16659542,16656764,16657043,712,25,0,0.0,1.0,1,12.7115,62.38725,endo_only
