chr,start,end,neu_signal,nsc_signal,enrichment,pvalue,binding_type,binding_type_by_peaks,significant,neu_replicates_with_signal,nsc_replicates_with_signal,neu_replicate_signals,nsc_replicate_signals,region_length,cpg_length,cpg_score,cpg_name,neu_replicates_with_peaks,nsc_replicates_with_peaks,neu_peak_scores_by_rep,nsc_peak_scores_by_rep,region_start,region_end
chr3,54810972,54811405,12.830330411726017,0.0,inf,1.0,neu_only,nsc_only,False,3,0,"6.904015493233467,24.620023363808723,6.9669523781358595","0.0,0.0,0.0",299,433,CpG:,1003,0,1,,3.75187,54810866,54811165
chr17,6256745,6257192,8.870128213772459,0.0,inf,1.0,neu_only,nsc_only,False,2,0,"11.596917488403964,0.0,15.013467152913412","0.0,0.0,0.0",237,447,CpG:,632,0,1,,6.59402,6257149,6257386
chr12,91647402,91648082,44.17799009865956,0.0,inf,1.0,neu_only,nsc_only,False,3,0,"38.78733281722712,85.6218745282654,8.124762950486138","0.0,0.0,0.0",1327,680,CpG:,1284,0,1,,5.02944,91646801,91648128
chr16,94079059,94079453,0.649919838287942,0.0,inf,1.0,neu_only,nsc_only,False,1,0,"1.949759514863826,0.0,0.0","0.0,0.0,0.0",242,394,CpG:,1302,0,1,,2.71094,94078920,94079162
chr11,96365874,96366265,7.976248623449591,0.0,inf,1.0,neu_only,nsc_only,False,3,0,"1.0900141830685772,6.251458693154251,16.587272994125946","0.0,0.0,0.0",316,391,CpG:,1320,0,1,,2.06063,96365972,96366288
chr11,6447281,6447509,16.53497026484018,0.0,inf,1.0,neu_only,nsc_only,False,3,0,"39.243564911336705,1.0944217835496737,9.266924099634158","0.0,0.0,0.0",298,228,CpG:,634,0,1,,7.41828,6447473,6447771
chr11,48753673,48753878,2.582622670428657,0.0,inf,1.0,neu_only,nsc_only,False,2,0,"6.510492144050179,0.0,1.2373758672357915","0.0,0.0,0.0",728,205,CpG:,956,0,1,,6.76724,48753715,48754443
chr11,59249720,59250030,19.92834274319635,0.0,inf,1.0,neu_only,nsc_only,False,3,0,"11.805341000613488,0.9698795782247551,47.00980765075081","0.0,0.0,0.0",253,310,CpG:,1037,0,1,,4.20167,59249736,59249989
chr6,108185236,108185566,10.403920701688156,0.0,inf,1.0,neu_only,nsc_only,False,3,0,"4.727203685256134,9.971817703886405,16.512740715921925","0.0,0.0,0.0",537,330,CpG:,1410,0,1,,3.85467,108184787,108185324
chr9,3199798,3200105,3.464263643379564,0.0,inf,1.0,neu_only,nsc_only,False,3,0,"8.158927139308718,1.7255944675869412,0.5082693232430352","0.0,0.0,0.0",288,307,CpG:,609,0,1,,2.61013,3199728,3200016
chr17,23557751,23558165,9.969642188813951,0.0,inf,1.0,neu_only,nsc_only,False,3,0,"11.727630577225616,5.942056462384652,12.239239526831586","0.0,0.0,0.0",276,414,CpG:,764,0,1,,2.47276,23558046,23558322
chr5,147270137,147270628,10.217839933086086,0.0,inf,1.0,neu_only,nsc_only,False,3,0,"0.9309295435209533,28.878082275390625,0.8445079803466797","0.0,0.0,0.0",370,491,CpG:,1708,0,1,,2.40095,147270563,147270933
chr9,26755649,26756070,8.76033619390541,0.0,inf,1.0,neu_only,nsc_only,False,2,0,"8.252507386454548,0.0,18.02850119526168","0.0,0.0,0.0",502,421,CpG:,789,0,1,,3.61459,26756037,26756539
chr7,128009919,128010402,7.887333891145954,0.0,inf,1.0,neu_only,nsc_only,False,3,0,"8.254021458845079,0.8962510489901516,14.511729165602633","0.0,0.0,0.0",1109,483,CpG:,1561,0,1,,5.82185,128009505,128010614
chr6,142414629,142414856,9.179555309735813,0.0,inf,1.0,neu_only,nsc_only,False,2,0,"0.9799782349513128,0.0,26.558687694256122","0.0,0.0,0.0",520,227,CpG:,1671,0,1,,4.66354,142414272,142414792
chrX,55643327,55643560,3.421339486461052,0.0,inf,1.0,neu_only,nsc_only,False,3,0,"0.41617773070750713,9.554544131311587,0.29329659736406183","0.0,0.0,0.0",1814,233,CpG:,1009,0,1,,2.2164,55643527,55645341
chr16,17734077,17734299,23.76839529623845,0.0,inf,1.0,neu_only,nsc_only,False,3,0,"3.447132710965804,25.122163565047664,42.73588961270189","0.0,0.0,0.0",193,222,CpG:,720,0,1,,2.89167,17734299,17734492
chr4,117729384,117729589,3.4662575493640944,0.0,inf,1.0,neu_only,nsc_only,False,1,0,"10.398772648092283,0.0,0.0","0.0,0.0,0.0",439,205,CpG:,1483,0,1,,4.54215,117729055,117729494
chr11,57831407,57831734,30.54803905959278,0.0,inf,1.0,neu_only,nsc_only,False,3,0,"12.095687169176642,46.7014130581054,32.8470169514963","0.0,0.0,0.0",929,327,CpG:,1026,0,1,,3.00927,57830507,57831436
chr10,22819309,22819799,1.1608788684756477,0.0,inf,1.0,neu_only,nsc_only,False,1,0,"3.482636605426942,0.0,0.0","0.0,0.0,0.0",273,490,CpG:,759,0,1,,3.90155,22819071,22819344
chr8,70743137,70743596,8.750214430916653,0.0,inf,1.0,neu_only,nsc_only,False,2,0,"13.904421907710278,0.0,12.346221385039682","0.0,0.0,0.0",254,459,CpG:,1124,0,1,,7.9521,70742883,70743137
chr18,45146888,45147093,4.405108538966751,0.0,inf,1.0,neu_only,nsc_only,False,2,0,"8.829637772910488,0.0,4.385687843989764","0.0,0.0,0.0",1018,205,CpG:,929,0,1,,4.85583,45146078,45147096
