chr,start,end,neu_signal,nsc_signal,enrichment,pvalue,binding_type,binding_type_by_peaks,significant,neu_replicates_with_signal,nsc_replicates_with_signal,neu_replicate_signals,nsc_replicate_signals,region_length,cpg_length,cpg_score,cpg_name,neu_replicates_with_peaks,nsc_replicates_with_peaks,neu_peak_scores_by_rep,nsc_peak_scores_by_rep,region_start,region_end
chrX,106011556,106012093,67.94741818696815,9.469940843272903,7.1750625808011765,0.1,both,both,False,3,3,"56.64590327954599,75.49577418806216,71.7005770932963","0.6804576759174658,18.061339712620462,9.66802514128078",3495,537,CpG:,1393,2,2,11.2557;16.8922,4.39005;6.10771,106009543,106013038
chr15,75713267,75713500,39.63137581924451,5.531707246922548,7.164402245128322,0.1,both,nsc_only,False,3,3,"38.45447118042142,70.20181677066138,10.237839506650733","9.738715341928843,1.7881896466529341,5.068216752185869",2035,233,CpG:,1162,0,1,,4.68286,75711509,75713544
chr10,79779936,79780219,86.03105109670634,12.008944098184289,7.1639146950241805,0.1,both,both,False,3,3,"74.69802070541627,98.25535744830806,85.13977513639469","2.140760840455451,8.237924727798895,25.64814672629852",4298,283,CpG:,1193,2,2,19.0035;8.96911,5.41725;4.69623,79777810,79782108
chr1,159231781,159232536,105.2004228019012,14.7029170896993,7.155071484120893,0.1,both,both,False,3,3,"95.37068236725965,88.49681110270154,131.73377493574245","8.828507772099368,21.64269928937128,13.637544207627254",2897,755,CpG:,1799,2,3,24.6838;15.707,7.2357;9.11322;5.53519,159230937,159233834
chr4,153974583,153975622,51.21648188457414,7.166150764649633,7.147000330668902,0.1,both,both,False,3,3,"35.74938747767654,57.53738667167309,60.36267150437278","6.744608277066143,0.5002563645215934,14.253587652361166",1097,1039,CpG:,1759,2,2,21.071;10.1075,5.71978;5.74023,153974851,153975948
chr13,45078550,45079118,6.5740174463350485,0.9213510087837568,7.135193193105827,0.1,both,neu_only,False,3,3,"2.0108888936732274,5.04283299245307,12.668330452878847","1.7160507968571632,0.0751904251005733,0.9728118043935341",1971,568,CpG:,928,1,0,7.48223,,45079049,45081020
chr11,119174678,119174898,13.77551480256062,1.9320253881474765,7.1300899496819135,0.2,both,nsc_only,False,3,2,"12.111755492878668,22.066017019867857,7.14877189493533","0.0,2.764310957654297,3.031765206788133",3101,220,CpG:,1494,0,1,,5.15919,119172404,119175505
chr17,29437287,29437524,98.29753784478424,13.787326950101637,7.1295573246748605,0.1,both,both,False,3,3,"59.3792435120063,141.7124910281681,93.80087899417825","12.747423472335923,15.086209926447689,13.5283474515213",3269,237,CpG:,809,2,3,23.5156;13.4986,8.85548;5.41239;6.79221,29435129,29438398
chr7,125444606,125445208,262.42498669867723,36.86220758659432,7.119079509337724,0.1,both,both,False,3,3,"220.48265356287334,299.8621953797503,266.93011115340806","53.45503512037813,42.464265790845914,14.667321848558922",1613,602,CpG:,1542,2,3,18.7962;24.548,9.08366;5.03908;9.50724,125443921,125445534
chr2,164400606,164401044,16.31607294656765,2.292450884279984,7.117305351426198,0.2,both,both,False,3,2,"14.168072850559088,28.017673398055162,6.762472591088704","5.687596826256059,0.0,1.1897558265838926",2021,438,CpG:,1839,1,1,8.49072,4.36205,164399924,164401945
