chr,start,end,neu_signal,nsc_signal,enrichment,pvalue,binding_type,binding_type_by_peaks,significant,neu_replicates_with_signal,nsc_replicates_with_signal,neu_replicate_signals,nsc_replicate_signals,region_length,cpg_length,cpg_score,cpg_name,neu_replicates_with_peaks,nsc_replicates_with_peaks,neu_peak_scores_by_rep,nsc_peak_scores_by_rep,region_start,region_end
chr3,13472896,13473372,26.941094227937555,0.0,inf,1.0,neu_only,neu_only,False,3,0,"21.768211049299975,6.74973063652332,52.30534099798936","0.0,0.0,0.0",520,476,CpG:,687,1,0,4.62863,,13472638,13473158
chr5,139543775,139544941,0.34834049878338,0.0,inf,1.0,neu_only,neu_only,False,1,0,"0.0,0.0,1.04502149635014","0.0,0.0,0.0",862,1166,CpG:,1649,1,0,4.15481,,139543801,139544663
chr12,89260160,89260526,8.340816441483385,0.0,inf,1.0,neu_only,neu_only,False,1,0,"25.022449324450154,0.0,0.0","0.0,0.0,0.0",508,366,CpG:,1266,1,0,5.37429,,89260376,89260884
chrX,155305981,155306182,3.712135991868272,0.0,inf,1.0,neu_only,neu_only,False,2,0,"10.323920989231453,0.8124869863733609,0.0","0.0,0.0,0.0",367,201,CpG:,1769,1,0,4.332,,155305679,155306046
chr19,45155826,45156161,4.475221162313943,0.0,inf,1.0,neu_only,neu_only,False,3,0,"2.9749355918758518,0.35839269711421085,10.092335197951767","0.0,0.0,0.0",364,335,CpG:,929,1,0,5.99084,,45155969,45156333
chr4,108383205,108383697,4.152482098224117,0.0,inf,1.0,neu_only,neu_only,False,2,0,"5.666722573486029,6.79072372118632,0.0","0.0,0.0,0.0",204,492,CpG:,1411,1,0,7.34807,,108383017,108383221
chr19,43386227,43386805,11.78037908295572,0.0,inf,1.0,neu_only,neu_only,False,2,0,"14.336715092501798,0.0,21.00442215636536","0.0,0.0,0.0",455,578,CpG:,916,1,0,7.45104,,43385893,43386348
chr2,144393401,144393650,78.42125442267606,0.0,inf,1.0,neu_only,neu_only,False,3,0,"43.32359108628268,185.78482852369976,6.155343658045719","0.0,0.0,0.0",209,249,CpG:,1686,1,0,5.63705,,144393581,144393790
chr11,35120996,35122006,20.292803617376062,0.0,inf,1.0,neu_only,neu_only,False,3,0,"13.956898025844408,1.7015861967335577,45.219926629550216","0.0,0.0,0.0",345,1010,CpG:,852,1,0,6.00567,,35120961,35121306
chrX,104348236,104348496,6.919101412674312,0.0,inf,1.0,neu_only,neu_only,False,2,0,"12.343836995099814,0.0,8.413467242923122","0.0,0.0,0.0",267,260,CpG:,1381,1,0,3.38223,,104348097,104348364
chr9,63142315,63142777,13.062127648132844,0.0,inf,1.0,neu_only,neu_only,False,3,0,"23.414949745658895,4.330192034110307,11.441241164629325","0.0,0.0,0.0",373,462,CpG:,1066,1,0,3.36833,,63142481,63142854
chr13,119836757,119837075,25.19954143688631,0.0,inf,1.0,neu_only,neu_only,False,3,0,"46.20917945404534,1.5677325131389246,27.82171234347467","0.0,0.0,0.0",317,318,CpG:,1499,1,0,5.87321,,119836586,119836903
chr6,149361515,149361900,5.147529818451814,0.0,inf,1.0,neu_only,neu_only,False,2,0,"11.9516593107762,0.0,3.4909301445792407","0.0,0.0,0.0",379,385,CpG:,1724,1,0,11.3756,,149361470,149361849
chr5,72580290,72581140,4.604233976723492,0.0,inf,1.0,neu_only,neu_only,False,3,0,"2.1198683199675186,10.7136927065642,0.9791409036387568","0.0,0.0,0.0",207,850,CpG:,1138,1,0,3.8332,,72581025,72581232
chr5,37826575,37827554,3.137268524169922,0.0,inf,1.0,neu_only,neu_only,False,2,0,"1.6986312103271484,0.0,7.713174362182617","0.0,0.0,0.0",250,979,CpG:,873,1,0,4.87292,,37826415,37826665
chr5,67216474,67216709,7.693487087885539,0.0,inf,1.0,neu_only,neu_only,False,3,0,"15.098911023139953,0.31060750484466554,7.670942735671997","0.0,0.0,0.0",400,235,CpG:,1097,1,0,6.00346,,67216160,67216560
chr10,53299125,53299341,6.153483574959769,0.0,inf,1.0,neu_only,neu_only,False,3,0,"13.556629663972712,0.3766689416187913,4.527152119287804","0.0,0.0,0.0",1072,216,CpG:,991,1,0,4.66575,,53298968,53300040
chr10,81499183,81499537,10.807056198990535,0.0,inf,1.0,neu_only,neu_only,False,2,0,"26.80787329446702,0.0,5.613295302504585","0.0,0.0,0.0",336,354,CpG:,1206,1,0,5.28944,,81499156,81499492
chr5,129225844,129226135,11.216431957551803,0.0,inf,1.0,neu_only,neu_only,False,2,0,"20.874906217640845,0.0,12.774389655014565","0.0,0.0,0.0",290,291,CpG:,1570,1,0,4.96061,,129225578,129225868
chr17,69387388,69387771,14.452556593190804,0.0,inf,1.0,neu_only,neu_only,False,3,0,"17.35139535535994,13.223170853506964,12.783103570705507","0.0,0.0,0.0",451,383,CpG:,1114,1,0,3.4656,,69387676,69388127
chr12,9574445,9574788,13.896244633019268,0.0,inf,1.0,neu_only,neu_only,False,2,0,"26.559718393843106,0.0,15.129015505214698","0.0,0.0,0.0",601,343,CpG:,658,1,0,4.36973,,9574419,9575020
chrX,169994005,169994235,56.44341473217451,0.0,inf,1.0,neu_only,neu_only,False,3,0,"98.94648568937095,28.046897057259436,42.336861449893156","0.0,0.0,0.0",202,230,CpG:,1881,1,0,3.96491,,169994044,169994246
chr18,37498657,37499209,0.3623299622299648,0.0,inf,1.0,neu_only,neu_only,False,1,0,"0.0,0.0,1.0869898866898944","0.0,0.0,0.0",202,552,CpG:,871,1,0,8.34284,,37499131,37499333
chr9,111689987,111690485,26.93002662894448,0.0,inf,1.0,neu_only,neu_only,False,3,0,"18.50677740516845,34.81322637585362,27.47007610581138","0.0,0.0,0.0",836,498,CpG:,1437,1,0,3.59943,,111690272,111691108
