chr,start,end,neu_signal,nsc_signal,enrichment,pvalue,binding_type,binding_type_by_peaks,significant,neu_replicates_with_signal,nsc_replicates_with_signal,neu_replicate_signals,nsc_replicate_signals,region_length,cpg_length,cpg_score,cpg_name,neu_replicates_with_peaks,nsc_replicates_with_peaks,neu_peak_scores_by_rep,nsc_peak_scores_by_rep,region_start,region_end
chr15,58214479,58215086,26.39930169093032,33.004614483000445,0.7998669914635028,0.4,both,both,False,3,3,"26.543750494304078,26.792646816056575,25.861507762430307","31.138977911143595,26.019598987293215,41.85526655056452",6426,607,CpG:,1029,2,3,10.865;6.10211,8.85876;5.91961;9.03083,58209985,58216411
chr2,25240768,25241033,9.433578151864396,11.807040760018172,0.7989790450973149,0.7,both,both,False,3,3,"14.804195346185674,0.9122623716081891,12.584276737799321","14.640221001958489,16.290236826902046,4.490664451193989",4256,265,CpG:,777,2,2,8.61663;7.83851,5.67258;7.82628,25238610,25242866
chr1,21961003,21962124,21.13726739020838,26.4680847602239,0.7985945179521774,0.2,both,both,False,3,3,"19.930145815703625,20.862094284892965,22.619562070028547","29.84270714272205,28.319941629342463,21.241605508607176",4731,1121,CpG:,752,2,3,8.91374;7.73173,3.36852;4.67185;6.04933,21959728,21964459
chr13,51566991,51567736,36.82812384931216,46.12080524995764,0.7985143288309343,0.2,both,both,False,3,3,"38.02040472577269,32.376338628578736,40.08762819358505","50.258773734611125,40.080110297421825,48.02353171783997",5907,745,CpG:,978,2,2,10.15;7.8289,4.80766;6.44943,51564501,51570408
chr5,123683511,123684372,31.308856139844096,39.22820905509173,0.7981209668755009,0.7,both,both,False,3,3,"41.211264560261256,19.826167630704962,32.88913622856608","52.13350250055651,28.000829795109635,37.55029486960906",4078,861,CpG:,1528,2,2,7.44266;8.15869,4.73874;5.99792,123682855,123686933
chr5,17574439,17574843,17.402738701213323,21.81676214962854,0.7976774271937336,0.4,both,both,False,3,3,"16.82791618526442,13.425960962030011,21.95433895634554","25.50480546629213,24.170412988796265,15.775067993797228",4856,404,CpG:,719,2,3,10.0858;6.10497,6.6049;5.39539;4.40334,17571194,17576050
chr12,4038394,4039169,22.257809625834863,27.913530307152744,0.7973842570579966,0.7,both,both,False,3,3,"20.44722644882593,19.95935624995677,26.366846178721893","19.24210201204515,35.69836511625227,28.80012379316081",4306,775,CpG:,615,2,2,7.6609;7.22643,4.80548;3.43277,4036568,4040874
chr4,141147759,141148594,32.72248802305699,41.10977191404558,0.7959783404168441,0.7,both,both,False,3,3,"31.029634970081432,33.01722267237441,34.120606426715106","23.19893281784416,54.984581500338464,45.145801423954104",2556,835,CpG:,1661,2,3,11.9646;7.58607,5.54927;3.97063;3.7748,141146675,141149231
chr13,21179978,21181148,26.418548543351235,33.23181603203,0.7949775756428149,1.0,both,both,False,3,3,"30.053043603816793,27.703559611613763,21.499042414623144","29.09000864009658,21.026422837720894,49.57901661827252",2969,1170,CpG:,746,2,3,13.2464;6.12709,5.74429;5.57203;6.50597,21179625,21182594
chr2,133551963,133553485,17.046802490306604,21.44639009073689,0.7948564965098459,0.4,both,both,False,3,3,"13.59009820697907,19.768907411777725,17.781401852163015","20.23430586176158,17.264197029137286,26.840667381311818",2271,1522,CpG:,1603,2,2,6.79613;4.78598,2.71094;6.38891,133552070,133554341
chr3,96557677,96557953,36.11522625960609,45.443041833109135,0.7947361092648746,0.4,both,both,False,3,3,"31.13054216212373,43.38922965490185,33.825906961792704","43.260942677531446,42.56666576432861,50.50151705746735",9826,276,CpG:,1321,2,3,6.30133;13.5945,9.75776;6.83357;9.22703,96554707,96564533
chr1,136259769,136260914,14.494850371544032,18.274534800941925,0.7931720576983948,0.4,both,both,False,3,3,"10.265932756837733,23.493899401822908,9.724718955971452","18.043464421069704,10.823505047336582,25.956634934419494",3093,1145,CpG:,1624,2,2,3.36144;3.25577,4.06934;3.39286,136258735,136261828
chr1,92831686,92832865,29.89065892191988,37.69609697579861,0.7929377659737578,0.7,both,both,False,3,3,"27.362734251657205,33.0545458128191,29.254696701283326","25.475917232771444,35.39361539513689,52.218758299487504",4672,1179,CpG:,1293,2,2,8.47677;6.99964,"4.69788,4.185;7.27231",92831359,92836031
chr17,32787855,32788134,23.677158997317,29.868723485383907,0.7927074288562509,1.0,both,both,False,3,3,"21.575406976069473,19.27443947792053,30.18163053796098","20.911009605510813,21.319862504907558,47.375298345733334",3700,279,CpG:,835,2,3,10.0047;9.95767,6.99718;5.15197;5.06163,32786310,32790010
chr18,61398498,61400742,18.74052394482793,23.649292211264022,0.7924348761652127,0.7,both,both,False,3,3,"21.934250915047734,14.497686176376913,19.789634743059164","13.124739914085923,35.15630701457075,22.6668297051354",6948,2244,CpG:,1053,2,3,9.37476;5.7285,"6.4509;5.31824,6.99062;6.4309",61394975,61401923
chr7,110614179,110615131,20.5754976565367,25.967894667700023,0.7923436967005795,0.7,both,both,False,3,3,"17.18081931003374,18.63963598091049,25.90603767866587","16.706282981592167,16.48943305548651,44.70796796602138",3891,952,CpG:,1428,2,3,10.2049;3.97425,8.18057;4.93786;12.8537,110613352,110617243
chr10,18022557,18023138,10.067761875271088,12.713126567456095,0.7919186379409777,0.7,both,both,False,3,3,"14.22456165311132,6.821409470181817,9.157314502520128","4.92071747401884,17.63832385583852,15.580338372510928",4731,581,CpG:,722,2,2,5.62713;7.48965,5.12232;4.32016,18019713,18024444
chr3,54755446,54755887,12.969662873594103,16.390981472117705,0.7912682285472946,1.0,both,both,False,3,3,"10.343128447293626,15.51626864682161,13.049591526667069","10.071963859822839,10.382656550746256,28.718324005784027",6614,441,CpG:,1002,2,2,2.5992;5.18609,7.73825;4.9823,54751893,54758507
chr2,104027697,104028455,13.299437190419054,16.81294021412617,0.7910238792882234,0.7,both,both,False,3,3,"10.948275883577082,15.866229768080094,13.08380591959998","17.64627484402563,23.079414310386575,9.713131487966299",4994,758,CpG:,1378,2,3,8.95702;9.68511,10.5498;5.33578;5.04462,104026360,104031354
chr8,25240392,25240967,28.531967058556347,36.102088658926085,0.790313472666683,0.7,both,both,False,3,3,"17.096724955898942,43.88563280804142,24.61354341172868","18.711720301087496,35.17611033597569,54.41843533971507",1256,575,CpG:,777,2,2,10.5315;5.6501,5.55946;5.59756,25240448,25241704
