chr,start,end,neu_signal,nsc_signal,enrichment,pvalue,binding_type,binding_type_by_peaks,significant,neu_replicates_with_signal,nsc_replicates_with_signal,neu_replicate_signals,nsc_replicate_signals,region_length,cpg_length,cpg_score,cpg_name,neu_replicates_with_peaks,nsc_replicates_with_peaks,neu_peak_scores_by_rep,nsc_peak_scores_by_rep,region_start,region_end
chr11,76601278,76601611,2.9841987798308622,0.0,inf,1.0,neu_only,nsc_only,False,2,0,"3.1042127397912362,0.0,5.84838359970135","0.0,0.0,0.0",722,333,CpG:,1169,0,1,,4.15678,76600916,76601638
chr16,94079059,94079453,0.649919838287942,0.0,inf,1.0,neu_only,nsc_only,False,1,0,"1.949759514863826,0.0,0.0","0.0,0.0,0.0",242,394,CpG:,1302,0,1,,2.71094,94078920,94079162
chr17,6256745,6257192,8.870128213772459,0.0,inf,1.0,neu_only,nsc_only,False,2,0,"11.596917488403964,0.0,15.013467152913412","0.0,0.0,0.0",237,447,CpG:,632,0,1,,6.59402,6257149,6257386
chr17,23557751,23558165,9.969642188813951,0.0,inf,1.0,neu_only,nsc_only,False,3,0,"11.727630577225616,5.942056462384652,12.239239526831586","0.0,0.0,0.0",276,414,CpG:,764,0,1,,2.47276,23558046,23558322
chr8,70743137,70743596,8.750214430916653,0.0,inf,1.0,neu_only,nsc_only,False,2,0,"13.904421907710278,0.0,12.346221385039682","0.0,0.0,0.0",254,459,CpG:,1124,0,1,,7.9521,70742883,70743137
chr10,22819309,22819799,1.1608788684756477,0.0,inf,1.0,neu_only,nsc_only,False,1,0,"3.482636605426942,0.0,0.0","0.0,0.0,0.0",273,490,CpG:,759,0,1,,3.90155,22819071,22819344
chr11,96365874,96366265,7.976248623449591,0.0,inf,1.0,neu_only,nsc_only,False,3,0,"1.0900141830685772,6.251458693154251,16.587272994125946","0.0,0.0,0.0",316,391,CpG:,1320,0,1,,2.06063,96365972,96366288
chrX,47892197,47892471,28.21064761609448,0.0,inf,1.0,neu_only,nsc_only,False,3,0,"4.082862861789002,28.13215014204687,52.416929844447544","0.0,0.0,0.0",245,274,CpG:,950,0,1,,4.39602,47892249,47892494
chrX,55643327,55643560,3.421339486461052,0.0,inf,1.0,neu_only,nsc_only,False,3,0,"0.41617773070750713,9.554544131311587,0.29329659736406183","0.0,0.0,0.0",1814,233,CpG:,1009,0,1,,2.2164,55643527,55645341
chr17,48031560,48031922,3.6144327511082808,0.0,inf,1.0,neu_only,nsc_only,False,3,0,"2.018702988772048,0.7319163573859191,8.092678907166876","0.0,0.0,0.0",679,362,CpG:,951,0,1,,4.21264,48031693,48032372
chr9,118559594,118559833,9.503389482416658,0.0,inf,1.0,neu_only,nsc_only,False,3,0,"7.682527798872727,1.1946423237140362,19.632998324663212","0.0,0.0,0.0",390,239,CpG:,1489,0,1,,3.10277,118559709,118560099
chr4,117729384,117729589,3.4662575493640944,0.0,inf,1.0,neu_only,nsc_only,False,1,0,"10.398772648092283,0.0,0.0","0.0,0.0,0.0",439,205,CpG:,1483,0,1,,4.54215,117729055,117729494
chrX,36025584,36025921,3.5903412752411,0.0,inf,1.0,neu_only,nsc_only,False,2,0,"6.210962797914233,0.0,4.560061027809065","0.0,0.0,0.0",784,337,CpG:,859,0,1,,6.44644,36025012,36025796
chr7,128009919,128010402,7.887333891145954,0.0,inf,1.0,neu_only,nsc_only,False,3,0,"8.254021458845079,0.8962510489901516,14.511729165602633","0.0,0.0,0.0",1109,483,CpG:,1561,0,1,,5.82185,128009505,128010614
chr11,6447281,6447509,16.53497026484018,0.0,inf,1.0,neu_only,nsc_only,False,3,0,"39.243564911336705,1.0944217835496737,9.266924099634158","0.0,0.0,0.0",298,228,CpG:,634,0,1,,7.41828,6447473,6447771
chr8,78434795,78435860,12.69815128737284,0.0,inf,1.0,neu_only,nsc_only,False,2,0,"10.468564070698942,27.625889791419578,0.0","0.0,0.0,0.0",359,1065,CpG:,1183,0,1,,3.82968,78435384,78435743
chr11,57831407,57831734,30.54803905959278,0.0,inf,1.0,neu_only,nsc_only,False,3,0,"12.095687169176642,46.7014130581054,32.8470169514963","0.0,0.0,0.0",929,327,CpG:,1026,0,1,,3.00927,57830507,57831436
chr12,18135572,18136430,1.345518789309757,0.0,inf,1.0,neu_only,nsc_only,False,1,0,"4.036556367929271,0.0,0.0","0.0,0.0,0.0",692,858,CpG:,723,0,1,,4.12369,18135726,18136418
chr11,59249720,59250030,19.92834274319635,0.0,inf,1.0,neu_only,nsc_only,False,3,0,"11.805341000613488,0.9698795782247551,47.00980765075081","0.0,0.0,0.0",253,310,CpG:,1037,0,1,,4.20167,59249736,59249989
chr7,123982572,123983871,2.0083325183497065,0.0,inf,1.0,neu_only,nsc_only,False,2,0,"3.758026414212927,0.0,2.2669711408361923","0.0,0.0,0.0",339,1299,CpG:,1530,0,1,,2.2509,123983707,123984046
chr14,44858992,44859201,21.480309421536305,0.0,inf,1.0,neu_only,nsc_only,False,2,0,"33.568601973776545,0.0,30.872326290832376","0.0,0.0,0.0",424,209,CpG:,927,0,1,,7.36764,44859109,44859533
chr18,20558001,20558498,24.037932941984906,0.0,inf,1.0,neu_only,nsc_only,False,3,0,"15.476805346799887,31.529673755821044,25.10731972333378","0.0,0.0,0.0",457,497,CpG:,741,0,1,,6.41845,20558010,20558467
chr18,37732639,37733134,8.073523235867151,0.0,inf,1.0,neu_only,nsc_only,False,3,0,"9.044332586188428,10.365745426733282,4.810491694679743","0.0,0.0,0.0",1106,495,CpG:,872,0,1,,5.9127,37732559,37733665
chr18,45146888,45147093,4.405108538966751,0.0,inf,1.0,neu_only,nsc_only,False,2,0,"8.829637772910488,0.0,4.385687843989764","0.0,0.0,0.0",1018,205,CpG:,929,0,1,,4.85583,45146078,45147096
chr14,15438703,15439065,24.91353447651012,0.0,inf,1.0,neu_only,nsc_only,False,3,0,"28.29198032508631,18.16607542511066,28.2825476793334","0.0,0.0,0.0",383,362,CpG:,702,0,1,,3.60143,15439005,15439388
chr8,117436558,117436900,11.137719199889236,0.0,inf,1.0,neu_only,nsc_only,False,3,0,"4.4849518810709315,12.213989645242691,16.714216073354084","0.0,0.0,0.0",384,342,CpG:,1480,0,1,,2.19801,117436316,117436700
chr5,147270137,147270628,10.217839933086086,0.0,inf,1.0,neu_only,nsc_only,False,3,0,"0.9309295435209533,28.878082275390625,0.8445079803466797","0.0,0.0,0.0",370,491,CpG:,1708,0,1,,2.40095,147270563,147270933
chr6,3763576,3763862,31.23771854052468,0.0,inf,1.0,neu_only,nsc_only,False,2,0,"15.62975043342227,0.0,78.08340518815177","0.0,0.0,0.0",336,286,CpG:,613,0,1,,2.19801,3763340,3763676
chr3,54810972,54811405,12.830330411726017,0.0,inf,1.0,neu_only,nsc_only,False,3,0,"6.904015493233467,24.620023363808723,6.9669523781358595","0.0,0.0,0.0",299,433,CpG:,1003,0,1,,3.75187,54810866,54811165
chr12,20311963,20312822,3.276706730439138,0.0,inf,1.0,neu_only,nsc_only,False,2,0,"5.470618806763959,0.0,4.359501384553456","0.0,0.0,0.0",966,859,CpG:,739,0,1,,3.87295,20312088,20313054
chr12,56521093,56521319,5.906974594213683,0.0,inf,1.0,neu_only,nsc_only,False,2,0,"17.09808611288303,0.0,0.6228376697580158","0.0,0.0,0.0",574,226,CpG:,1016,0,1,,2.66757,56520953,56521527
chr7,44351977,44353713,11.067065578767624,0.0,inf,1.0,neu_only,nsc_only,False,3,0,"7.545385831388934,1.0041174703630908,24.651693434550843","0.0,0.0,0.0",696,1736,CpG:,923,0,1,,5.44471,44353185,44353881
chr7,45357719,45357941,3.727686067598056,0.0,inf,1.0,neu_only,nsc_only,False,2,0,"0.7516064643859863,10.431451738408182,0.0","0.0,0.0,0.0",226,222,CpG:,931,0,1,,3.25313,45357887,45358113
chr10,80304774,80305091,4.414243759752131,0.0,inf,1.0,neu_only,nsc_only,False,2,0,"11.53122329711914,1.7115079821372519,0.0","0.0,0.0,0.0",196,317,CpG:,1197,0,1,,3.97605,80304832,80305028
chr11,48753673,48753878,2.582622670428657,0.0,inf,1.0,neu_only,nsc_only,False,2,0,"6.510492144050179,0.0,1.2373758672357915","0.0,0.0,0.0",728,205,CpG:,956,0,1,,6.76724,48753715,48754443
chr6,108185236,108185566,10.403920701688156,0.0,inf,1.0,neu_only,nsc_only,False,3,0,"4.727203685256134,9.971817703886405,16.512740715921925","0.0,0.0,0.0",537,330,CpG:,1410,0,1,,3.85467,108184787,108185324
chr9,3199798,3200105,3.464263643379564,0.0,inf,1.0,neu_only,nsc_only,False,3,0,"8.158927139308718,1.7255944675869412,0.5082693232430352","0.0,0.0,0.0",288,307,CpG:,609,0,1,,2.61013,3199728,3200016
chr13,62812921,62813140,7.688781624078963,0.0,inf,1.0,neu_only,nsc_only,False,2,0,"11.157197375719413,0.0,11.909147496517479","0.0,0.0,0.0",746,219,CpG:,1064,0,1,,5.02804,62812892,62813638
chr2,118430867,118431204,4.7228663506364095,0.0,inf,1.0,neu_only,nsc_only,False,3,0,"2.4615263046680624,4.695668338695276,7.01140440854589","0.0,0.0,0.0",807,337,CpG:,1488,0,2,,3.0724;6.19445,118430945,118431752
chr9,26755649,26756070,8.76033619390541,0.0,inf,1.0,neu_only,nsc_only,False,2,0,"8.252507386454548,0.0,18.02850119526168","0.0,0.0,0.0",502,421,CpG:,789,0,1,,3.61459,26756037,26756539
