chr,start,end,exo_signal,endo_signal,enrichment,pvalue,binding_type,significant,exo_replicates_with_signal,endo_replicates_with_signal,exo_replicate_signals,endo_replicate_signals,region_length,cpg_length,cpg_score,cpg_name,exo_replicates_with_peaks,endo_replicates_with_peaks,exo_peak_scores_by_rep,endo_peak_scores_by_rep,region_start,region_end
chr12,86947870,86948080,155.68503038216468,106.09140186641615,1.467461336576491,0.4,both,False,3,2,"139.716269383855,120.5883046262933,206.75051713634574","83.89400133207118,128.2888024007611",3291,210,CpG:,1248,3,2,22.9338;37.5289;23.4609,15.8933;23.3683,86946184,86949475
chr12,86989957,86990553,15.233255137159537,14.871570810594699,1.024320519410577,1.0,both,False,3,2,"11.523625990633574,15.620032753581674,18.556106667263364","25.189575148948194,4.553566472241204",3867,596,CpG:,1248,3,2,3.20586;7.97498;3.79408,7.69436;3.8332,86988474,86992341
chr12,87102113,87102587,16.77857847309163,13.817009570516255,1.2143422487666933,0.8,both,False,3,2,"9.340042621829376,16.649708184979836,24.34598461246568","7.64886440581072,19.98515473522179",3677,474,CpG:,1249,2,1,3.22817;7.79773,8.83728,87099684,87103361
chr12,87147049,87148157,111.15520147300276,87.599922609646,1.2688961149922635,0.8,both,False,3,2,"97.86242236294576,72.73531483487591,162.86786722118663","68.07364402983393,107.12620118945809",3161,1108,CpG:,1249,3,2,17.3365;43.5432;17.5457,19.8333;32.7734,87146378,87149539
chr12,87199698,87200536,33.383862000283564,50.556878093261744,0.6603228533751768,0.4,both,False,3,2,"23.645859077367675,20.351470050883382,56.15425687259965","60.48849755368931,40.625258632834175",1598,838,CpG:,1250,3,2,4.98288;6.4766;5.23528,13.4858;7.38821,87199135,87200733
chr12,87266607,87266905,151.35383155810527,161.17639740994343,0.9390570455123464,0.8,both,False,3,2,"127.7035813162877,146.54022449126612,179.817688866762","138.73693534456766,183.6158594753192",2600,298,CpG:,1250,3,2,18.058;23.4138;22.857,30.5086;23.7941,87265679,87268279
chr12,87299398,87300330,12.780976680855504,5.795725264282659,2.2052419840569195,0.8,both,False,3,2,"21.53604769453628,7.688708247989943,9.118174100040292","0.3983354669720757,11.193115061593241",1413,932,CpG:,1251,2,0,3.75547;3.65053,,87299061,87300474
chr12,87387720,87388413,293.7439219119721,163.6374121193549,1.7950902431634599,0.4,both,False,3,2,"316.64808997215584,225.23812305160433,339.34555271215606","101.50358566748866,225.77123857122118",2394,693,CpG:,1251,3,2,56.0085;86.0702;58.174,31.651;45.0576,87387145,87389539
chr12,87443393,87444025,24.835966238340475,49.47232403303679,0.502017374840839,0.2,both,False,3,2,"28.71715389123965,19.450097408250627,26.34064741553115","51.394113765302485,47.5505343007711",2165,632,CpG:,1252,3,2,5.31177;11.0684;5.47115,18.0974;10.7402,87442987,87445152
chr12,87471872,87472369,49.60702090459946,60.734527684894616,0.8167845012638059,0.8,both,False,3,2,"34.436609770258926,36.49314112211954,77.89131182141992","74.89834995798954,46.57070541179969",3307,497,CpG:,1252,3,2,15.4644;33.2773;18.877,15.0147;8.21013,87469438,87472745
