chr,start,end,exo_signal,endo_signal,enrichment,pvalue,binding_type,significant,exo_replicates_with_signal,endo_replicates_with_signal,exo_replicate_signals,endo_replicate_signals,region_length,cpg_length,cpg_score,cpg_name,exo_replicates_with_peaks,endo_replicates_with_peaks,exo_peak_scores_by_rep,endo_peak_scores_by_rep,region_start,region_end
chr6,29164556,29164852,72.88707974478183,50.54112857871068,1.4421339964989202,0.8,both,False,3,2,"58.548548016383144,65.11157047716833,95.00112074079404","66.80561753724038,34.27663962018099",1127,296,CpG:,807,3,2,8.66048;12.9493;9.16838,11.7258;6.71174,29164270,29165397
chr6,29170251,29171278,34.51417425506684,20.57343859955909,1.6776084410024932,0.2,both,False,3,2,"35.46644028487613,34.31386934833609,33.7622131319883","13.968771318993387,27.178105880124793",2541,1027,CpG:,807,3,1,5.48843;6.85724;6.47197,4.29538,29169035,29171576
chr6,29178973,29179665,30.408356150038845,17.709919942798038,1.7170239192642305,0.2,both,False,3,2,"25.57066934527773,27.703837033472055,37.95056207136675","19.396988506895124,16.02285137870095",4125,692,CpG:,807,3,2,5.36221;7.99628;7.67803,7.51697;6.27063,29176235,29180360
chr6,29211959,29212553,9.17165517902094,6.094466329221461,1.504915226956808,0.8,both,False,3,2,"10.182313364158649,15.357126537288167,1.9755256356160047","0.5316578110759744,11.657274847366947",3176,594,CpG:,807,3,1,4.05392;5.42955;3.19128,7.41501,29210379,29213555
chr6,29215984,29216355,12.458405232032755,11.48274509850356,1.0849674990744456,0.8,both,False,3,2,"12.844649977583071,14.017109424979191,10.513456293536004","11.363875605486992,11.601614591520127",4015,371,CpG:,807,3,2,5.3371;5.86181;3.99929,6.64688;5.14274,29214159,29218174
chr6,29272506,29272924,81.38671554615743,52.70447404316003,1.5442088555804452,0.4,both,False,3,2,"90.66609187366294,68.31170555979227,85.18234920501709","80.15036095989694,25.25858712642313",1390,418,CpG:,808,3,2,10.2996;18.055;11.089,11.8108;7.18199,29272211,29273601
chr6,29347829,29348444,303.55246790660516,230.16404617795078,1.3188526746350049,0.8,both,False,3,2,"259.3528730427135,225.5898066739169,425.7147240031849","155.34642125216396,304.9816711037376",1375,615,CpG:,808,3,2,27.0231;49.0338;27.9636,26.2375;31.6799,29347286,29348661
chr6,29396379,29396656,37.22206508500253,52.74275109166247,0.7057285468540256,0.4,both,False,3,2,"35.009949640254625,37.897692247949784,38.75855336680317","67.50313600204163,37.982366181283304",2651,277,CpG:,809,3,2,6.47456;6.39863;4.58515,15.9951;10.6579,29395492,29398143
chr6,29433165,29433739,56.12511694880421,39.67227047178788,1.414719053922473,0.8,both,False,3,2,"42.51770480441952,44.65193004043451,81.2057160015586","47.854840050428535,31.489700893147237",7394,574,CpG:,809,3,2,6.17179;7.02106;5.51735,8.90808;5.78231,29430130,29437524
chr6,29473991,29474402,23.370924047589366,47.05064787447483,0.49671843222945683,0.2,both,False,3,2,"30.1724043739387,33.835942091468254,6.10442567736114","54.223746250506395,39.87754949844328",1903,411,CpG:,809,2,2,6.96757;4.04161,11.0568;7.35479,29472800,29474703
chr6,29496440,29496642,7.618254960990531,21.73028878775088,0.3505823155596927,0.4,both,False,3,2,"7.662651910042355,14.608226023171724,0.5838869497575149","35.496890276780505,7.963687298721257",2979,202,CpG:,810,1,1,3.75069,10.0319,29496360,29499339
chr6,29507708,29508070,13.975208989368594,24.92159682094391,0.5607669961831635,0.5,both,False,3,1,"13.35319858129614,23.305861841048703,5.26656654576094","49.84319364188782,0.0",2168,362,CpG:,810,1,1,3.48922,8.70848,29505849,29508017
chr6,29526398,29527188,20.659091294894033,24.38568112293961,0.8471812286374903,1.0,both,False,3,2,"10.444239509068927,13.107772140071669,38.4252622355415","48.12486580930045,0.6464964365787643",973,790,CpG:,810,2,0,6.09988;2.46075,,29526972,29527945
chr6,29609123,29609957,89.64925163926678,41.238685021467035,2.1739115006358554,0.2,both,False,3,2,"55.334434544105406,52.656389277680475,160.95693109601447","48.76189009587568,33.71547994705839",1862,834,CpG:,810,3,2,8.94487;21.8075;9.02037,11.7804;6.72219,29609231,29611093
chr6,29694117,29694502,27.422337448563667,24.555825409362416,1.116734501545541,0.8,both,False,3,2,"33.06354029046353,19.385762059860024,29.817709995367448","16.892653207973375,32.21899761075146",4218,385,CpG:,811,3,1,6.0564;30.3992;6.92581,13.0155,29693294,29697512
chr6,29735416,29736541,25.867047552003243,21.212490533494837,1.2194252962026686,0.8,both,False,3,2,"26.75633029330657,15.943007466807037,34.90180489589613","14.84950335567563,27.575477711314047",3833,1125,CpG:,811,3,1,6.06163;12.0561;4.87596,7.5317,29735306,29739139
chr6,29768095,29768366,177.0663906076899,184.9575265305248,0.9573354160230264,1.0,both,False,3,2,"145.72270866357798,154.4195876255549,231.0568755339368","136.92430980792616,232.99074325312344",2526,271,CpG:,812,3,2,28.869;32.1779;24.5881,37.393;43.447,29767545,29770071
