gene,chr,cpg_start,cpg_end,mecp2_enrichment,exo_signal,endo_signal,binding_type,distance_to_gene,baseMean,log2FoldChange,padj,category
1700040D17Rik,chr3,94412490,94413511,2.625550637638848,502.26312563304754,191.2982055774524,both,592,134.5468659,0.514338302,0.029057986,up-regulated
4930412M03Rik,chr11,60115124,60115553,4.781051362312449,338.80176195466385,70.8634432638255,both,323,120.8364027,1.029123074,8.07669e-06,up-regulated
4930570G19Rik,chr3,156560893,156561148,2.0326675058640538,151.21257924523113,74.39120210708201,both,598,207.9870016,0.887199948,7.35831e-08,up-regulated
6530402F18Rik,chr2,29251508,29253279,12.21975772170053,335.02763642874106,27.416880437308524,both,273,362.1207499,0.929879136,1.098e-10,up-regulated
9930014A18Rik,chr15,60822970,60825075,14.021170531599257,748.7537988795415,53.40166123734738,both,699,186.1507961,1.219880338,1.62891e-11,up-regulated
Abat,chr16,8513265,8513607,4.279993020571183,408.0443161838173,95.3376125200695,both,164,2381.129589,1.737878259,1.97203e-69,up-regulated
Abcc10,chr17,46327802,46328498,3.265553342884342,338.9939541031085,103.80903893111348,both,146,201.479629,0.544496469,0.008075368,up-regulated
Akap1,chr11,88863935,88864835,3.274682423430618,542.0477593931352,165.52681735326135,both,249,1270.870453,0.639842008,1.85319e-10,up-regulated
Akap13,chr7,75455504,75456287,3.352897445228602,349.6030164653902,104.26892625746687,both,30,3065.439726,0.528972315,1.42641e-16,up-regulated
Ankrd29,chr18,12305494,12305853,12.337873894094065,169.9582903424281,13.77533048248972,both,133,725.629024,1.282269325,6.49331e-41,up-regulated
Apaf1,chr10,91082300,91083380,2.328270102695483,705.3357511854534,302.9441259280324,both,610,2337.073733,0.658072017,1.25278e-16,up-regulated
Apoe,chr7,19696587,19696990,21.728461407622447,508.967790073672,23.42401426983337,both,478,2076.004894,2.049650278,2.65418e-80,up-regulated
Arhgap20,chr9,51764861,51766217,11.712125007694391,172.60723622643627,14.737482405032416,both,476,2260.093838,0.960743272,7.92879e-35,up-regulated
Arhgap31,chr16,38712700,38713353,2.7713820827658058,421.9559732023374,152.2547092392365,both,79,12114.13327,0.69509823,2.3104e-14,up-regulated
Arhgef12,chr9,43105426,43106549,2.233795398049968,98.22855966393554,43.97383921091696,both,831,7718.580987,0.610004854,2.1904199999999998e-20,up-regulated
Arl8a,chr1,135146495,135147566,32.251138521550466,168.51180380494233,5.224987753295637,both,329,3503.645969,0.892965204,1.6910500000000002e-32,up-regulated
Arnt2,chr7,84409544,84410337,2.459943187236916,487.3691849182936,198.1221303999796,both,161,4495.243229,1.22320339,1.44266e-56,up-regulated
Asap1,chr15,64382175,64383019,18.518246150480586,328.6104795753484,17.745226891630896,both,100,2603.94938,0.858282362,2.21554e-32,up-regulated
Asap2,chr12,21111482,21112601,3.0444645003240534,301.47455303964574,99.02383588560706,both,266,1714.97957,0.569506032,1.57492e-13,up-regulated
Atrn,chr2,130906267,130906976,6.659554264908246,226.3034003556212,33.98176384688399,both,228,2790.385349,0.554249942,1.40769e-10,up-regulated
Auts2,chr5,131537191,131538947,119.16670520550916,546.4466230303725,4.585564584402976,both,99858,1514.093144,0.723445187,9.91732e-19,up-regulated
Axin2,chr11,108920190,108922170,2.7628931549890754,391.946938122994,141.86105511001702,both,159,1805.152028,1.16932404,4.5481999999999995e-40,up-regulated
Bace1,chr9,45838654,45838941,12.7816595986628,233.33256930658385,18.25526391979605,both,74,1458.102474,0.503029365,3.45038e-09,up-regulated
Btbd11,chr10,85598645,85598868,2.932473973177507,556.806521736013,189.8760319201335,both,61424,613.0973369,0.718434494,2.4648e-11,up-regulated
Btbd19,chr4,117120599,117121347,3.239502852849121,539.4337279212483,166.51744184970232,both,1380,231.6876307,0.887604504,1.42438e-08,up-regulated
C230034O21Rik,chr3,38885050,38888327,3.2233670120295104,433.2918500613585,134.42212706288987,both,68,247.3009326,0.812236922,8.26311e-08,up-regulated
C2cd2l,chr9,44319565,44320353,2.137434234239961,248.2077721444369,116.12416801806104,both,71,725.4416919,0.712355635,2.32657e-11,up-regulated
Cachd1,chr4,100776432,100778008,5.710170930133589,238.4073352574825,41.751348282652025,both,243,1627.671192,1.047447483,1.40018e-35,up-regulated
Cad,chr5,31054724,31055202,2.229477256468274,190.80198167539496,85.58148827122163,both,56,3228.61477,0.712119637,6.07407e-20,up-regulated
Camsap1,chr2,25982204,25983940,2.133213080584833,1001.091598965465,469.28814007225657,both,658,2207.218755,0.712663857,1.43614e-25,up-regulated
Cask,chrX,13845930,13847105,10.282217274353108,252.06539279847647,24.514692315168464,both,4262,9214.718668,0.739308685,3.50685e-38,up-regulated
Cd14,chr18,36725676,36726233,4.644695571567446,677.9485752136977,145.96189669862696,both,503,96.4715689,0.672657523,0.014177996,up-regulated
Cd81,chr7,143052674,143053288,10.970216927191768,301.79422025766604,27.510323839596253,both,65,26182.35453,0.82192805,8.10459e-28,up-regulated
Cdh2,chr18,16806909,16807133,2.1470927712574706,56.9433209507985,26.521127411485327,both,2113,4760.08118,0.95668875,3.55973e-41,up-regulated
Cdk12,chr11,98202611,98203726,9.643515016804814,274.860329789055,28.50208967477965,both,448,3942.663764,0.523259234,2.58031e-11,up-regulated
Cemip,chr7,84086232,84086786,2.8701607063750565,162.94104705183938,56.770705100213696,both,284,381.9544754,2.111253824,1.06795e-62,up-regulated
Ckb,chr12,111670537,111672509,3.323396767775044,243.7135186552297,73.33265802577996,both,171,98676.77686,0.725785358,1.86872e-24,up-regulated
Coro7,chr16,4679542,4679826,7.005109490951451,331.37802581133724,47.305188625442696,both,49,417.4718258,0.642744575,3.43976e-06,up-regulated
Cpped1,chr16,11909092,11909407,3.93422975570068,580.6578824397138,147.59124873130335,both,38,2842.125993,0.824004402,6.19354e-28,up-regulated
Crim1,chr17,78199717,78200011,3.68349384058407,141.87542481893985,38.51653646214419,both,531,1967.825816,1.166332852,3.3799499999999997e-43,up-regulated
Ctdsp2,chr10,126978410,126980162,2.310699607359356,560.4398558751975,242.54120011543287,both,307,3529.871885,0.664348877,7.548869999999999e-20,up-regulated
Ctnnal1,chr4,56864599,56865514,6.602596072976909,501.1034671326083,75.89491490832272,both,326,1435.295218,0.781248906,2.76739e-22,up-regulated
Ctnnd2,chr15,30172358,30173548,5.800498934461274,355.2021334877905,61.236479396195286,both,235,7443.607394,0.518319994,1.37662e-12,up-regulated
Cux1,chr5,136565439,136569059,8.712805953535124,412.5941655445293,47.35491272787084,both,1569,4536.328902,0.64880324,8.596609999999999e-20,up-regulated
Cyb5rl,chr4,107066512,107067447,3.770876471439624,586.2221326476275,155.46044456444974,both,476,217.9070443,0.864297178,1.92575e-07,up-regulated
Dab2,chr15,6386350,6386893,5.920370506137946,332.08695488214624,56.09225884391103,both,53819,149.2007204,1.717131007,5.92404e-16,up-regulated
Dapk1,chr13,60601761,60602653,6.519488968156915,322.53960419575657,49.47314210839746,both,186,1113.869021,1.080504623,7.40342e-34,up-regulated
Dbndd2,chr2,164485967,164487110,15.661110812252511,347.67056432012964,22.199610773977067,both,139,259.4056704,0.935372211,4.69437e-09,up-regulated
Dcaf7,chr11,106036775,106037324,2.483989519094164,671.0067708374937,270.13269004540314,both,97,5369.329796,0.550610466,4.73702e-16,up-regulated
Dlg1,chr16,31663525,31663895,2.364409041960569,86.74556084134717,36.68805156040925,both,82,2515.403483,0.524339313,2.79674e-12,up-regulated
Dlgap3,chr4,127235896,127236812,3.03964423222955,89.11913735132187,29.31893686977763,both,210,456.6280325,1.095007572,8.141059999999999e-20,up-regulated
Dock6,chr9,21852370,21852764,10.22726392291816,489.38752452222246,47.85126581368058,both,129,1098.051414,1.417898656,1.01109e-36,up-regulated
Dtx4,chr19,12501007,12501800,3.567705748620118,254.7395970952632,71.40151543994033,both,196,4739.312937,1.924863412,3.3490999999999996e-234,up-regulated
Dusp4,chr8,34806595,34809760,2.371357928837542,697.5010031566331,294.1356910631173,both,702,2207.34164,0.835758775,4.679760000000001e-18,up-regulated
Dynll2,chr11,87986772,87987654,15.850296914376136,141.2766737568675,8.913187842476963,both,121,2184.762399,0.809853039,2.81426e-26,up-regulated
E030030I06Rik,chr10,22148532,22151691,5.4957782009038825,218.7038779511992,39.79488799515767,both,2421,162.5962998,0.829288316,0.000109911,up-regulated
E2f1,chr2,154569321,154570198,5.737422796777637,269.85689001115816,47.03451350364495,both,306,1053.230592,0.575268083,3.97298e-11,up-regulated
Efnb2,chr8,8659823,8661897,3.7816390530882673,835.1115210997949,220.8332179185116,both,655,740.6041625,0.961776734,2.67384e-15,up-regulated
Egfr,chr11,16752214,16753080,3.5524224387950136,566.0288474294842,159.33601850051426,both,11,21586.55243,0.974926469,1.2654500000000001e-70,up-regulated
Ehd4,chr2,120154097,120154849,2.5200239564444566,305.0413621523366,121.0470088477748,both,243,1775.104763,0.831215093,5.09319e-23,up-regulated
Eif4g3,chr4,137992964,137993729,3.380455121195957,477.40541783982553,141.22519031429303,both,58,4454.870981,0.780293637,1.14145e-30,up-regulated
Elk3,chr10,93310112,93310563,2.3102286190906205,118.02486399173448,51.087958575369406,both,572,2222.670922,0.50314512,1.17479e-10,up-regulated
Elmo2,chr2,165326173,165326655,3.6132558707742106,451.0937770461119,124.84412761763706,both,176,2472.16592,0.748079818,7.5211000000000025e-19,up-regulated
Endod1,chr9,14380647,14381181,5.866439609752809,293.2271014803139,49.98382681598412,both,61,948.7641437,0.983987468,1.8793799999999999e-25,up-regulated
Ep300,chr15,81585125,81586774,2.037968864975709,303.088326276425,148.7207834649807,both,226,3900.374533,0.718717692,9.658090000000001e-26,up-regulated
Esyt1,chr10,128525060,128525800,2.5177342990772584,500.52508459485904,198.7998037673395,both,59,179.8055132,0.738068048,2.6802e-05,up-regulated
Etv4,chr11,101784509,101785248,3.9088431137182296,544.5594034834843,139.31472500708276,both,123,1938.968235,0.557972137,3.25597e-09,up-regulated
Fam124a,chr14,62555511,62555970,2.728336633950456,407.5551114799608,149.37860174895175,both,226,732.2238725,1.150504313,1.7218100000000001e-28,up-regulated
Fam214a,chr9,74952675,74953335,6.742349083779578,184.5676397091182,27.374382046331927,both,378,1511.426202,0.987923412,1.35453e-27,up-regulated
Fam219a,chr4,41568936,41569852,4.488707400102878,339.3954359298644,75.61095114421708,both,314,359.0633076,0.841876394,3.82178e-08,up-regulated
Fam234a,chr17,26243869,26244386,2.500725482583813,775.1713465259749,309.97858498448545,both,163,774.6909715,0.791362715,5.49374e-12,up-regulated
Fam53c,chr18,34759386,34759806,4.365184657305761,1183.0403877551455,271.0172605814414,both,480,1522.268953,0.567748779,8.65609e-13,up-regulated
Fam84a,chr12,14151807,14152353,4.669000780725952,316.48470050525066,67.78424664474838,both,315,1983.448786,1.115882665,2.6915e-41,up-regulated
Farp2,chr1,93511776,93512054,3.233988908472386,379.2277979195417,117.2631720925334,both,303,520.2951861,0.505776474,2.4235e-05,up-regulated
